iter	MultiClass
0	1.024821338
1	0.9701001523
2	0.9325311151
3	0.8977267171
4	0.8730918784
5	0.8499064632
6	0.8335989258
7	0.8196216609
8	0.8052971403
9	0.7929923562
10	0.7805690603
11	0.7704706745
12	0.7631369424
13	0.75325512
14	0.7475254603
15	0.7421440568
16	0.7371133997
17	0.7327003279
18	0.72576319
19	0.7203419566
20	0.7156979003
21	0.7113999288
22	0.7066477832
23	0.7020231973
24	0.6991764838
25	0.6949130793
26	0.6918877291
27	0.687673448
28	0.6840669513
29	0.6780716475
30	0.6750100554
31	0.6721072482
32	0.6682684677
33	0.6642477828
34	0.6596857519
35	0.6574205695
36	0.6550754123
37	0.652491797
38	0.6488350477
39	0.6459787658
40	0.644009619
41	0.6415460279
42	0.6399632345
43	0.6380465735
44	0.6366109971
45	0.6331152735
46	0.6281098066
47	0.6247931679
48	0.6202505153
49	0.6186541353
50	0.6156393204
51	0.6118204222
52	0.6094837772
53	0.6068967396
54	0.6050815963
55	0.6006495263
56	0.5983993007
57	0.5967968248
58	0.5952011088
59	0.5928871562
60	0.5904665735
61	0.5882096955
62	0.5830069351
63	0.5802545561
64	0.5779019822
65	0.5749980744
66	0.5720287699
67	0.5652487268
68	0.5620758477
69	0.5602999236
70	0.5565553335
71	0.5542988316
72	0.5528489759
73	0.5503090242
74	0.5488891896
75	0.5456459828
76	0.5424709265
77	0.5408628084
78	0.5364332195
79	0.5343398735
80	0.5304121644
81	0.5272641551
82	0.5254980916
83	0.5239976085
84	0.5225078495
85	0.5180202766
86	0.5150895178
87	0.5128851915
88	0.5115214679
89	0.5105071648
90	0.5064965465
91	0.5049954943
92	0.5028807064
93	0.5017874096
94	0.5004576747
95	0.499163092
96	0.495225208
97	0.492566765
98	0.4905567107
99	0.4895361756
100	0.4872787509
101	0.4837661704
102	0.481158511
103	0.4783489906
104	0.4765332614
105	0.4739575188
106	0.4719441601
107	0.4677140812
108	0.46615549
109	0.4650134573
110	0.4611429398
111	0.4578391583
112	0.4555577994
113	0.4526075046
114	0.4510726154
115	0.4483892947
116	0.4464748555
117	0.4447921864
118	0.4433491666
119	0.4395366549
120	0.4377329486
121	0.4367878037
122	0.4342011221
123	0.432111871
124	0.4309209251
125	0.4287437618
126	0.4266461973
127	0.4242873237
128	0.4222432206
129	0.4211991128
130	0.4186335876
131	0.4158572304
132	0.4148256923
133	0.4132801823
134	0.4122008576
135	0.4108151726
136	0.4097933803
137	0.4083842815
138	0.4070817803
139	0.4064460504
140	0.4049038316
141	0.4026593588
142	0.4008493403
143	0.3982320578
144	0.3969894854
145	0.3957141052
146	0.3942533705
147	0.3935932429
148	0.3922806021
149	0.3915899056
150	0.3902299488
151	0.3875806972
152	0.3861263779
153	0.383009107
154	0.3799542557
155	0.3776839804
156	0.3755845388
157	0.3734321931
158	0.3710285181
159	0.3691631945
160	0.3674151817
161	0.3663873339
162	0.3651530254
163	0.3633165404
164	0.3607835748
165	0.3601121132
166	0.358916326
167	0.3582852067
168	0.3573303949
169	0.3562424226
170	0.3546786107
171	0.3534328888
172	0.3528383714
173	0.3519252467
174	0.3508001088
175	0.3502040286
176	0.3484941822
177	0.3480344559
178	0.3462972699
179	0.3456742513
180	0.344767272
181	0.3426317006
182	0.3416720095
183	0.3409605446
184	0.3391923435
185	0.3373469677
186	0.3359926766
187	0.3344738583
188	0.3318674053
189	0.3314443439
190	0.330485956
191	0.3289685264
192	0.3275330624
193	0.3254683788
194	0.3245882786
195	0.323293383
196	0.3218471619
197	0.3203664952
198	0.3193621731
199	0.3174646664
200	0.3169212579
201	0.3154836414
202	0.3147937603
203	0.3137580822
204	0.3128028258
205	0.3108463035
206	0.3094971119
207	0.3088034862
208	0.3083604321
209	0.3068172675
210	0.3058434166
211	0.3042758736
212	0.3019467327
213	0.3008403028
214	0.2998737908
215	0.2993779384
216	0.2985310412
217	0.2976768816
218	0.2960807921
219	0.2949410005
220	0.2938675764
221	0.2918447313
222	0.2903208202
223	0.2890333446
224	0.2878262545
225	0.2872908611
226	0.2864939055
227	0.284925214
228	0.2839182604
229	0.2824457121
230	0.2820989224
231	0.2806502236
232	0.279733636
233	0.2786239475
234	0.2771065698
235	0.2765101031
236	0.2750458279
237	0.2740692104
238	0.2728656784
239	0.271361098
240	0.2707682657
241	0.2702264379
242	0.2686191954
243	0.2667889646
244	0.2658887147
245	0.2647913161
246	0.2640833307
247	0.2629229546
248	0.261870878
249	0.2606696751
250	0.2598916139
251	0.2593447699
252	0.2581069341
253	0.2573798447
254	0.2565515054
255	0.2559902949
256	0.2553503977
257	0.2543130752
258	0.2537750789
259	0.2529843674
260	0.2518574681
261	0.2510448049
262	0.250502749
263	0.2493762675
264	0.2487750917
265	0.2475533123
266	0.2471765072
267	0.2462994407
268	0.2453966193
269	0.2442461134
270	0.2430820922
271	0.2423747593
272	0.2419426235
273	0.2412546117
274	0.2401076239
275	0.2393393444
276	0.2380237456
277	0.2373940968
278	0.2368180023
279	0.2365318592
280	0.2361058606
281	0.2353593508
282	0.2345129531
283	0.2332607703
284	0.2323113843
285	0.2319399259
286	0.2309630418
287	0.2304170217
288	0.2292167438
289	0.2284083703
290	0.228033336
291	0.2277832731
292	0.2272199933
293	0.2267208474
294	0.2260688003
