iter	Passed	Remaining
0	4	2647
1	7	2234
2	9	2074
3	12	2031
4	15	1994
5	18	1944
6	21	1901
7	24	1875
8	26	1846
9	29	1830
10	32	1855
11	35	1842
12	38	1828
13	41	1821
14	43	1809
15	46	1808
16	49	1795
17	52	1782
18	55	1784
19	57	1773
20	60	1768
21	63	1767
22	66	1760
23	69	1757
24	72	1760
25	75	1770
26	78	1769
27	82	1771
28	84	1763
29	87	1758
30	90	1751
31	93	1756
32	96	1748
33	99	1749
34	102	1749
35	105	1747
36	108	1744
37	111	1747
38	114	1745
39	117	1739
40	120	1736
41	123	1736
42	126	1731
43	129	1731
44	132	1730
45	135	1726
46	138	1722
47	141	1724
48	144	1720
49	147	1717
50	150	1714
51	153	1712
52	156	1709
53	159	1711
54	162	1709
55	165	1702
56	168	1698
57	171	1693
58	174	1690
59	176	1682
60	179	1676
61	181	1671
62	184	1666
63	187	1663
64	190	1658
65	192	1653
66	195	1647
67	198	1646
68	201	1642
69	204	1637
70	207	1636
71	209	1630
72	212	1628
73	215	1624
74	218	1623
75	221	1620
76	224	1618
77	227	1613
78	230	1610
79	232	1606
80	235	1602
81	238	1597
82	240	1593
83	243	1588
84	246	1584
85	248	1579
86	251	1577
87	254	1573
88	257	1570
89	260	1567
90	262	1562
91	265	1558
92	268	1554
93	271	1551
94	273	1547
95	276	1544
96	279	1541
97	282	1537
98	284	1534
99	287	1530
100	290	1526
101	293	1522
102	295	1519
103	298	1514
104	301	1512
105	303	1508
106	306	1504
107	309	1500
108	312	1497
109	314	1493
110	317	1491
111	320	1489
112	323	1487
113	326	1485
114	329	1481
115	332	1480
116	335	1477
117	338	1474
118	341	1473
119	344	1470
120	347	1469
121	350	1465
122	353	1463
123	356	1460
124	359	1456
125	362	1454
126	364	1450
127	367	1447
128	370	1444
129	373	1441
130	376	1439
131	379	1435
132	381	1432
133	385	1431
134	388	1428
135	391	1427
136	394	1425
137	397	1422
138	400	1421
139	403	1419
140	406	1416
141	409	1414
142	412	1411
143	415	1409
144	419	1407
145	421	1404
146	424	1402
147	427	1398
148	430	1396
149	433	1392
150	436	1389
151	438	1385
152	441	1381
153	443	1377
154	446	1374
155	449	1371
156	452	1368
157	455	1366
158	458	1364
159	461	1361
160	464	1359
161	467	1356
162	470	1353
163	473	1349
164	475	1346
165	478	1343
166	481	1339
167	483	1336
168	486	1333
169	489	1330
170	492	1326
171	494	1323
172	497	1320
173	500	1317
174	503	1314
175	506	1311
176	509	1308
177	512	1306
178	514	1303
179	517	1299
180	520	1296
181	523	1294
182	525	1290
183	528	1286
184	531	1283
185	533	1280
186	536	1276
187	539	1273
188	542	1270
189	545	1268
190	547	1264
191	550	1262
192	553	1258
193	556	1255
194	558	1252
195	562	1250
196	564	1246
197	567	1243
198	570	1240
199	573	1238
200	576	1235
201	579	1232
202	581	1229
203	584	1227
204	587	1224
205	590	1221
206	593	1217
207	595	1214
208	598	1211
209	601	1208
210	604	1205
211	607	1202
212	610	1200
213	613	1198
214	616	1195
215	619	1193
216	622	1189
217	624	1186
218	627	1183
219	630	1181
220	633	1178
221	637	1176
222	640	1174
223	643	1171
224	645	1168
225	649	1166
226	651	1162
227	654	1159
228	657	1157
229	661	1155
230	663	1151
231	666	1148
232	668	1145
233	671	1141
234	674	1138
235	676	1135
236	679	1132
237	682	1129
238	685	1127
239	688	1123
240	690	1120
241	693	1117
242	696	1114
243	699	1112
244	701	1108
245	704	1105
246	707	1102
247	710	1099
248	712	1096
249	715	1093
250	718	1090
251	721	1087
252	724	1084
253	726	1081
254	729	1077
255	731	1075
256	734	1072
257	737	1069
258	740	1065
259	742	1062
260	745	1060
261	748	1056
262	751	1053
263	753	1050
264	756	1047
265	758	1044
266	761	1041
267	764	1037
268	766	1034
269	770	1032
270	772	1029
271	775	1026
272	778	1023
273	781	1020
274	784	1018
275	787	1015
276	790	1012
277	792	1009
278	795	1006
279	798	1003
280	801	1000
281	803	997
282	806	994
283	809	991
284	811	988
285	814	985
286	817	982
287	820	979
288	822	976
289	825	973
290	828	971
291	831	968
292	834	965
293	837	962
294	840	959
295	843	956
296	845	954
297	848	951
298	851	948
299	854	945
300	857	942
301	859	939
302	862	936
303	865	933
304	868	931
305	871	928
306	874	925
307	877	922
308	880	920
309	883	917
310	886	915
311	889	912
312	892	909
313	895	906
314	898	904
315	900	900
316	903	898
317	906	895
318	909	892
319	912	889
320	915	886
321	918	883
322	920	880
323	923	877
324	926	874
325	928	871
326	931	868
327	934	866
328	937	863
329	939	860
330	942	857
331	945	854
332	948	851
333	950	848
334	953	845
335	956	842
336	958	839
337	961	836
338	964	833
339	966	830
340	970	828
341	973	825
342	975	822
343	978	819
344	981	816
345	983	813
346	986	810
347	989	807
348	991	804
349	994	801
350	997	798
351	999	795
352	1002	792
353	1005	789
354	1007	786
355	1010	783
356	1013	780
357	1015	777
358	1018	774
359	1021	771
360	1024	768
361	1026	765
362	1029	762
363	1032	760
364	1035	757
365	1037	754
366	1040	751
367	1042	748
368	1045	745
369	1048	742
370	1050	739
371	1053	736
372	1056	733
373	1059	730
374	1062	728
375	1064	725
376	1067	721
377	1069	718
378	1072	715
379	1075	713
380	1078	710
381	1081	707
382	1083	704
383	1086	701
384	1089	699
385	1092	695
386	1095	693
387	1097	690
388	1100	687
389	1103	684
390	1106	682
391	1109	679
392	1112	676
393	1115	673
394	1118	671
395	1121	668
396	1124	665
397	1127	662
398	1129	659
399	1132	657
400	1135	654
401	1138	651
402	1141	648
403	1144	645
404	1147	643
405	1150	640
406	1152	637
407	1156	634
408	1159	631
409	1161	629
410	1164	626
411	1167	623
412	1170	620
413	1173	617
414	1175	614
415	1178	611
416	1181	608
417	1183	605
418	1186	602
419	1188	600
420	1191	597
421	1193	594
422	1196	591
423	1199	588
424	1202	585
425	1204	582
426	1207	579
427	1211	577
428	1213	574
429	1216	571
430	1218	568
431	1221	565
432	1223	562
433	1226	559
434	1229	556
435	1232	553
436	1234	550
437	1236	547
438	1239	544
439	1242	542
440	1244	539
441	1247	536
442	1250	533
443	1252	530
444	1255	527
445	1258	524
446	1261	521
447	1264	519
448	1266	516
449	1269	513
450	1272	510
451	1274	507
452	1277	504
453	1280	501
454	1282	499
455	1285	496
456	1288	493
457	1290	490
458	1293	487
459	1295	484
460	1298	481
461	1301	478
462	1304	475
463	1306	473
464	1309	470
465	1312	467
466	1315	464
467	1317	461
468	1320	458
469	1323	456
470	1325	453
471	1328	450
472	1331	447
473	1334	444
474	1336	441
475	1339	439
476	1342	436
477	1345	433
478	1348	430
479	1351	427
480	1354	425
481	1357	422
482	1360	419
483	1362	416
484	1365	413
485	1368	411
486	1371	408
487	1374	405
488	1377	402
489	1380	400
490	1383	397
491	1386	394
492	1388	391
493	1391	388
494	1394	385
495	1397	383
496	1400	380
497	1402	377
498	1405	374
499	1408	371
500	1411	369
501	1415	366
502	1418	363
503	1421	361
504	1424	358
505	1426	355
506	1429	352
507	1432	349
508	1434	346
509	1437	343
510	1440	341
511	1443	338
512	1445	335
513	1448	332
514	1451	329
515	1454	326
516	1456	324
517	1459	321
518	1462	318
519	1465	315
520	1468	312
521	1470	309
522	1473	307
523	1476	304
524	1478	301
525	1481	298
526	1484	295
527	1487	293
528	1490	290
529	1493	287
530	1495	284
531	1498	281
532	1501	278
533	1504	276
534	1507	273
535	1509	270
