SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
0,91,1,4.027237237684815,-4.10877272711426,-4.273832232001123,-4.31367981732984,-4.3256436994609695,2.257179489106913,2.2485743066489725,19.44618941304887,15.536792558432124,1.875408900958374,0.3728684025995625,4.902455049088322
2,91,1,2.4813587539563926,-2.1737235230196754,-2.3509868891769123,-2.40639415744885,-2.437051447688563,2.1511889128606545,2.1325176401082357,3.4380257838238064,3.410077821182659,1.2331025262992956,-0.3238886969214921,2.286473442515565
3,91,0,2.20605052429705,-1.555966301562898,-1.7637488978979807,-1.8372728749593221,-1.882440503639666,2.400647396180578,2.397259003996536,1.67723506285467,3.1353072322280315,1.9024281884273229,-0.3238886969214921,2.5771482761023186
4,91,0,2.2170487014507403,-1.5270184998905971,-1.7367836073229013,-1.8110919896420428,-1.8575927286056684,2.418214895005925,2.413366512875855,1.72685125145439,3.679524086620533,1.627403264018065,-0.3238886969214921,2.635452754919597
5,91,0,2.2613965505796174,-1.4999634390968695,-1.720219214541066,-1.800151536526091,-1.8517841578184981,2.526547804428896,2.531075231609343,1.398398138954239,4.245961117822956,1.842909027795926,-0.3238886969214921,2.7236719227812123
7,91,0,2.0072871381923547,-1.3258312782681052,-1.5303615564104007,-1.6037676815889994,-1.6485379633304487,2.337989983703508,2.3328289684792582,1.6912504465567704,2.728493420057899,1.4440959411895096,-0.3238886969214921,2.3160881969601808
8,91,0,1.9085418122261577,-1.4235857777614906,-1.6241897613706278,-1.6949381242219341,-1.738355678280182,2.3081252357004187,2.2993749115760567,1.849269572062243,2.0190805546855697,1.21993998632541,-0.3238886969214921,1.92049920792648
9,91,0,1.9612336021361718,-1.581573972273012,-1.7476247547581867,-1.802492031471295,-1.8358105881537858,1.959703175664376,1.943357664038281,2.248967551714738,1.955046690524073,0.9839185634348847,-0.29502642155056064,1.3733003572175972
10,91,0,1.849527783233504,-1.1764717554089061,-1.3800163036530175,-1.4534861340609209,-1.498160519618198,2.309296402288775,2.3006139507206202,0.9526310739846543,2.2380167376945024,1.886434012511796,-0.3238886969214921,2.3604879275189004
11,91,0,1.5032480364815684,-1.3355176580584533,-1.460967206583513,-1.5072630876856012,-1.5353246160435083,1.4976779565577583,1.5286925636578548,1.3917365059600306,1.3467853233230405,1.0273430707463735,0.801541844869107,0.5918043527840938
