SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
0,91,1,12.54987062,-25.4919,-26.2513,-26.6115,-26.8779,0.7594,1.1196,46.7466,491.039,0.0388186,-0.505092761,12.48287358
2,91,1,11.14211076,-22.0159,-22.7572,-23.1074,-23.3664,0.7413,1.0915,9.7398,149.398,0.0317868,-4,10.13094219
3,91,0,10.89140032,-20.9062,-21.6901,-22.0618,-22.3352,0.7839,1.1556,5.6693,141.657,0.0391144,-4,10.39227708
4,91,0,10.90141585,-20.8542,-21.6411,-22.0137,-22.289,0.7869,1.1595,5.784,156.989,0.0361035,-4,10.44469646
5,91,0,10.94180138,-20.8056,-21.611,-21.9936,-22.2782,0.8054,1.188,5.0247,172.947,0.0384628,-4,10.52401102
7,91,0,10.71039572,-20.4928,-21.266,-21.6328,-21.9003,0.7732,1.14,5.7017,130.196,0.0340967,-4,10.15756771
8,91,0,10.62047293,-20.6684,-21.4365,-21.8003,-22.0673,0.7681,1.1319,6.067,110.21,0.0316427,-4,9.80190842
9,91,0,10.6684569,-20.9522,-21.6608,-21.9979,-22.2485,0.7086,1.0457,6.991,108.406,0.0290588,-0.979499098,9.309942364
10,91,0,10.56673159,-20.2245,-20.9928,-21.3567,-21.6207,0.7683,1.1322,3.9942,116.378,0.0389393,-4,10.19748585
11,91,0,10.25139068,-20.5102,-21.1399,-21.4555,-21.6898,0.6297,0.9453,5.0093,91.2697,0.0295342,-0.200605602,8.607328485
12,91,0,10.37074309,-21.6575,-21.9644,-22.1593,-22.3227,0.3069,0.5018,7.4626,94.9826,0.0218696,0.768013885,8.942281973
15,91,0,10.28949837,-20.155,-20.7818,-21.0816,-21.306,0.6268,0.9266,3.2061,88.2845,0.031818,-0.813208872,9.756148086
17,91,0,10.29313378,-19.8026,-20.5566,-20.9133,-21.1715,0.754,1.1107,3.6603,96.1284,0.0318627,-4,9.80721951
18,91,0,10.12638414,-19.9286,-20.5223,-20.8232,-21.0493,0.5937,0.8946,4.019,80.4755,0.0293491,-0.363485564,8.840264899
19,91,0,10.40847681,-19.9482,-20.7159,-21.079,-21.3448,0.7677,1.1308,3.1803,105.934,0.0372951,-4,9.959574296
20,91,0,10.40301864,-19.6079,-20.4084,-20.7894,-21.0726,0.8005,1.1815,3.1408,124.654,0.0336082,-4,9.981090503
21,91,0,10.00374525,-20.3755,-20.8271,-21.0853,-21.2882,0.4516,0.7098,4.1342,78.1269,0.0228801,0.155887914,8.567925843
22,91,0,10.52210487,-19.6943,-20.5142,-20.9058,-21.2013,0.8199,1.2115,2.6918,140.759,0.0432604,-4,10.20167474
23,91,0,10.28381916,-18.9195,-19.7477,-20.1456,-20.4427,0.8282,1.2261,1.3601,109.724,0.0333457,-4,10.10914073
24,91,0,9.949152944,-19.209,-19.9492,-20.2996,-20.5497,0.7402,1.0906,3.0839,80.6253,0.0269359,-2.5295801,8.507815604
25,91,0,10.00838264,-19.1696,-19.9108,-20.2626,-20.5125,0.7412,1.093,2.7171,79.0598,0.0295471,-2.115429089,8.965449334
26,91,0,10.32853248,-19.2246,-20.0317,-20.4176,-20.7042,0.8071,1.193,1.8728,128.461,0.0333659,-4,9.934474497
29,91,0,9.858843619,-18.9986,-19.7353,-20.0827,-20.3292,0.7367,1.0841,2.7686,71.8159,0.0286284,-4,8.606001342
30,91,0,9.995511486,-19.1627,-19.9044,-20.2538,-20.5033,0.7417,1.0911,3.0658,79.1288,0.0288429,-4,8.589879692
31,91,0,9.525870778,-19.7517,-20.071,-20.2599,-20.4084,0.3193,0.5082,2.3444,51.6573,0.0210236,-0.015993881,8.619575092
32,91,0,10.05509922,-19.0401,-19.8,-20.1601,-20.4179,0.7599,1.12,1.997,78.6691,0.0335792,-4,9.749663387
33,91,0,10.11958295,-19.0895,-19.8657,-20.2341,-20.5015,0.7762,1.1446,2.7828,86.1118,0.0333331,-4,9.151582779
34,91,0,9.980605137,-19.2976,-20.017,-20.3583,-20.6043,0.7194,1.0607,2.987,74.2676,0.031474,-1.608176892,8.820515369
35,91,0,9.8500865,-19.1358,-19.8057,-20.1208,-20.347,0.6699,0.985,2.4148,73.5975,0.0259877,-2.223623787,8.719546761
36,91,0,9.982683091,-18.8839,-19.6438,-20.0046,-20.2654,0.7599,1.1207,2.344,77.6528,0.0298253,-4,9.245825324
37,91,0,9.492858504,-19.7,-19.9916,-20.1784,-20.3278,0.2916,0.4784,2.3375,68.1861,0.0196035,0.018215536,8.395400093
38,91,0,9.973309239,-18.8897,-19.655,-20.0172,-20.2788,0.7653,1.1275,2.6486,79.6861,0.0323445,-4,8.946798376
39,91,0,10.2217872,-18.8328,-19.6559,-20.0465,-20.341,0.8231,1.2137,1.5884,115.135,0.0406657,-4,10.05230153
40,91,0,8.99402878,-18.8683,-19.1352,-19.3021,-19.4323,0.2669,0.4338,1.4381,51.9631,0.0148849,-0.266600793,7.654635008
41,91,0,10.05528159,-18.9354,-19.7103,-20.0768,-20.3448,0.7749,1.1414,2.388,81.4929,0.0372187,-4,9.081773215
43,91,0,10.04367257,-18.6977,-19.4884,-19.8645,-20.1385,0.7907,1.1668,2.1962,88.4874,0.0315985,-4,9.043185819
44,91,0,10.11840621,-18.8768,-19.6728,-20.0498,-20.3304,0.796,1.173,2.0167,95.8462,0.0435539,-4,9.658237465
45,91,0,9.978721929,-18.9456,-19.699,-20.0553,-20.3126,0.7534,1.1097,2.4034,72.5875,0.0325107,-4,9.117036522
46,91,0,10.1291906,-18.7133,-19.5201,-19.9032,-20.1886,0.8068,1.1899,1.5267,106.182,0.0388951,-4,9.955749044
47,91,0,9.467284913,-18.0032,-18.722,-19.0603,-19.2934,0.7188,1.0571,1.6526,57.8026,0.0241055,-4,8.860527399
48,91,0,9.648270677,-18.5732,-19.2755,-19.6023,-19.8313,0.7023,1.0291,2.1761,57.6502,0.0253576,-2.793907649,8.532398302
50,91,0,9.448705407,-18.3743,-19.0918,-19.4281,-19.6599,0.7175,1.0538,2.0897,53.1972,0.0217541,-4,7.854398585
51,91,0,9.972301797,-18.5401,-19.3415,-19.7226,-20.0059,0.8014,1.1825,2.2472,80.5589,0.0437342,-4,9.46798126
52,91,0,9.985490913,-18.3727,-19.1872,-19.5749,-19.8638,0.8145,1.2022,2.0421,85.7129,0.0409352,-4,9.017530405
53,91,0,9.972639919,-18.6355,-19.4303,-19.8077,-20.0884,0.7948,1.1722,2.0398,77.6436,0.0419197,-4,9.069196345
54,91,0,9.830954247,-18.4291,-19.195,-19.5574,-19.8178,0.7659,1.1283,2.1393,70.7493,0.0315189,-4,9.330733846
55,91,0,9.663178537,-18.2015,-18.9419,-19.2923,-19.5352,0.7404,1.0908,1.7476,65.8428,0.0247738,-4,8.566022203
56,91,0,9.636032804,-18.5972,-19.3241,-19.6661,-19.9074,0.7269,1.0689,2.1091,59.5652,0.0269049,-4,8.456701309
57,91,0,9.072597516,-18.5144,-18.9126,-19.1315,-19.295,0.3982,0.6171,1.2848,51.1429,0.0180121,-0.684553807,8.104862958
58,91,0,9.296337383,-18.2418,-18.8758,-19.1708,-19.3784,0.634,0.929,1.69,53.4698,0.0190983,-4,8.140112961
59,91,0,9.729790626,-18.2327,-18.9911,-19.3501,-19.6043,0.7584,1.1174,1.8957,65.625,0.0276657,-4,9.224087042
60,91,0,9.029882007,-17.7257,-18.2413,-18.4978,-18.6816,0.5156,0.7721,1.1364,47.3288,0.0201754,-1.289048102,8.366366393
61,91,0,8.895849423,-18.1031,-18.6834,-18.9472,-19.1252,0.5803,0.8441,1.1896,44.4859,0.0166272,-1.953397036,7.685528545
62,91,0,9.923084704,-18.3035,-19.1099,-19.4929,-19.7794,0.8064,1.1894,1.8445,81.6389,0.0474693,-4,9.162854381
63,91,0,9.722388333,-18.5298,-19.2653,-19.6113,-19.8572,0.7355,1.0815,2.2031,56.2087,0.0289189,-4,8.724310996
64,91,0,9.238615696,-18.2139,-18.6947,-18.9555,-19.1462,0.4808,0.7416,1.4766,57.2841,0.021256,-0.805549938,8.819893985
65,91,0,8.968281604,-17.7195,-18.4074,-18.727,-18.9378,0.6879,1.0075,0.9401,47.2632,0.0168196,-3.162540986,7.871125559
66,91,0,9.819342811,-18.2193,-19.0099,-19.3861,-19.6626,0.7906,1.1668,1.8473,72.785,0.0355617,-4,9.015128939
67,91,1,8.363891096,-17.2497,-17.5875,-17.7803,-17.919,0.3378,0.5306,0.6913,41.6267,0.0129892,-1.022656212,7.603198733
69,91,0,8.670186669,-17.7589,-18.3344,-18.5906,-18.757,0.5755,0.8317,0.9833,41.5554,0.014187,-4,7.58378929
70,91,0,9.594656422,-17.9597,-18.7212,-19.0816,-19.3377,0.7615,1.1219,1.7336,59.8721,0.0268072,-4,8.474111644
71,91,0,9.738708953,-18.059,-18.8433,-19.2165,-19.4879,0.7843,1.1575,1.9274,66.139,0.0317227,-4,8.885897072
72,91,0,8.497003963,-17.7535,-18.3337,-18.5912,-18.7533,0.5802,0.8377,0.8498,41.2904,0.00962701,-4,7.777000331
73,91,0,8.588598348,-17.2117,-17.6722,-17.9133,-18.0808,0.4605,0.7016,0.6233,41.437,0.0161689,-1.158351332,8.061601456
74,91,0,9.190100006,-17.7952,-18.4981,-18.8265,-19.0502,0.7029,1.0313,1.3508,52.5489,0.0204213,-4,7.992136215
75,91,0,9.631295148,-17.9165,-18.6942,-19.0626,-19.3286,0.7777,1.1461,1.8431,62.5749,0.0272365,-4,8.672463001
76,91,0,9.657156669,-17.9723,-18.7669,-19.1445,-19.4231,0.7946,1.1722,1.6829,55.5374,0.0397848,-4,8.72449564
77,91,0,9.900866834,-18.9664,-19.7037,-20.0498,-20.318,0.7373,1.0834,0.7677,79.0926,0.0667946,-4,
78,91,0,9.592410515,-17.7515,-18.5172,-18.8815,-19.139,0.7657,1.13,1.3081,63.6175,0.0264796,-4,8.689010021
80,91,0,8.722661606,-18.0947,-18.3197,-18.4614,-18.5735,0.225,0.3667,0.475,40.6582,0.0201906,-0.584994569,8.388076401
81,91,0,9.28454895,-18.5167,-19.1702,-19.4642,-19.6635,0.6535,0.9475,1.5314,40.2629,0.019671,-4,8.067583939
