[Epoch 001] train_loss=0.9557 acc=0.5227 f1=0.4984 | val_loss=0.9659 acc=0.5170 f1=0.4918 | epoch_time=0.02s
[Epoch 002] train_loss=0.9155 acc=0.5357 f1=0.5067 | val_loss=0.9266 acc=0.5210 f1=0.4907 | epoch_time=0.02s
[Epoch 003] train_loss=0.8949 acc=0.5497 f1=0.5187 | val_loss=0.9068 acc=0.5240 f1=0.4930 | epoch_time=0.02s
[Epoch 004] train_loss=0.8840 acc=0.5537 f1=0.5212 | val_loss=0.8963 acc=0.5309 f1=0.4983 | epoch_time=0.02s
[Epoch 005] train_loss=0.8726 acc=0.5517 f1=0.5178 | val_loss=0.8847 acc=0.5259 f1=0.4902 | epoch_time=0.02s
[Epoch 006] train_loss=0.8661 acc=0.5562 f1=0.5217 | val_loss=0.8781 acc=0.5299 f1=0.4924 | epoch_time=0.02s
[Epoch 007] train_loss=0.8618 acc=0.5819 f1=0.5518 | val_loss=0.8726 acc=0.5549 f1=0.5255 | epoch_time=0.02s
[Epoch 008] train_loss=0.8579 acc=0.5584 f1=0.5228 | val_loss=0.8693 acc=0.5289 f1=0.4924 | epoch_time=0.02s
[Epoch 009] train_loss=0.8556 acc=0.5594 f1=0.5233 | val_loss=0.8669 acc=0.5309 f1=0.4945 | epoch_time=0.02s
[Epoch 010] train_loss=0.8526 acc=0.5627 f1=0.5256 | val_loss=0.8631 acc=0.5369 f1=0.5007 | epoch_time=0.02s
[Epoch 011] train_loss=0.8507 acc=0.5627 f1=0.5275 | val_loss=0.8617 acc=0.5459 f1=0.5115 | epoch_time=0.02s
[Epoch 012] train_loss=0.8486 acc=0.5689 f1=0.5354 | val_loss=0.8599 acc=0.5429 f1=0.5085 | epoch_time=0.02s
[Epoch 013] train_loss=0.8478 acc=0.5629 f1=0.5281 | val_loss=0.8594 acc=0.5369 f1=0.5018 | epoch_time=0.02s
[Epoch 014] train_loss=0.8461 acc=0.5694 f1=0.5365 | val_loss=0.8572 acc=0.5409 f1=0.5072 | epoch_time=0.02s
[Epoch 015] train_loss=0.8441 acc=0.5794 f1=0.5477 | val_loss=0.8546 acc=0.5519 f1=0.5212 | epoch_time=0.02s
[Epoch 016] train_loss=0.8435 acc=0.5824 f1=0.5521 | val_loss=0.8539 acc=0.5549 f1=0.5261 | epoch_time=0.02s
[Epoch 017] train_loss=0.8425 acc=0.5774 f1=0.5456 | val_loss=0.8531 acc=0.5509 f1=0.5189 | epoch_time=0.02s
[Epoch 018] train_loss=0.8426 acc=0.5989 f1=0.5720 | val_loss=0.8525 acc=0.5699 f1=0.5436 | epoch_time=0.02s
[Epoch 019] train_loss=0.8414 acc=0.5724 f1=0.5396 | val_loss=0.8523 acc=0.5439 f1=0.5095 | epoch_time=0.02s
[Epoch 020] train_loss=0.8405 acc=0.5821 f1=0.5529 | val_loss=0.8511 acc=0.5559 f1=0.5272 | epoch_time=0.02s
[Epoch 021] train_loss=0.8405 acc=0.5684 f1=0.5357 | val_loss=0.8514 acc=0.5449 f1=0.5113 | epoch_time=0.02s
[Epoch 022] train_loss=0.8387 acc=0.5866 f1=0.5572 | val_loss=0.8486 acc=0.5609 f1=0.5320 | epoch_time=0.02s
[Epoch 023] train_loss=0.8390 acc=0.5996 f1=0.5735 | val_loss=0.8484 acc=0.5749 f1=0.5491 | epoch_time=0.02s
[Epoch 024] train_loss=0.8377 acc=0.5799 f1=0.5490 | val_loss=0.8477 acc=0.5559 f1=0.5256 | epoch_time=0.02s
[Epoch 025] train_loss=0.8388 acc=0.5699 f1=0.5382 | val_loss=0.8492 acc=0.5479 f1=0.5161 | epoch_time=0.02s
[Epoch 026] train_loss=0.8367 acc=0.5851 f1=0.5553 | val_loss=0.8463 acc=0.5579 f1=0.5291 | epoch_time=0.02s
[Epoch 027] train_loss=0.8370 acc=0.5949 f1=0.5678 | val_loss=0.8463 acc=0.5709 f1=0.5443 | epoch_time=0.02s
[Epoch 028] train_loss=0.8363 acc=0.5989 f1=0.5721 | val_loss=0.8455 acc=0.5739 f1=0.5477 | epoch_time=0.02s
[Epoch 029] train_loss=0.8357 acc=0.5866 f1=0.5572 | val_loss=0.8453 acc=0.5619 f1=0.5342 | epoch_time=0.02s
[Epoch 030] train_loss=0.8359 acc=0.5909 f1=0.5631 | val_loss=0.8451 acc=0.5679 f1=0.5412 | epoch_time=0.02s
[Epoch 031] train_loss=0.8359 acc=0.5986 f1=0.5727 | val_loss=0.8447 acc=0.5758 f1=0.5507 | epoch_time=0.02s
[Epoch 032] train_loss=0.8357 acc=0.5929 f1=0.5659 | val_loss=0.8448 acc=0.5719 f1=0.5465 | epoch_time=0.02s
[Epoch 033] train_loss=0.8352 acc=0.6003 f1=0.5746 | val_loss=0.8436 acc=0.5729 f1=0.5463 | epoch_time=0.02s
[Epoch 034] train_loss=0.8343 acc=0.5871 f1=0.5591 | val_loss=0.8437 acc=0.5669 f1=0.5406 | epoch_time=0.02s
[Epoch 035] train_loss=0.8353 acc=0.5981 f1=0.5719 | val_loss=0.8437 acc=0.5729 f1=0.5472 | epoch_time=0.02s
[Epoch 036] train_loss=0.8343 acc=0.5994 f1=0.5732 | val_loss=0.8426 acc=0.5768 f1=0.5519 | epoch_time=0.02s
[Epoch 037] train_loss=0.8340 acc=0.5986 f1=0.5722 | val_loss=0.8424 acc=0.5808 f1=0.5566 | epoch_time=0.02s
[Epoch 038] train_loss=0.8343 acc=0.6011 f1=0.5754 | val_loss=0.8425 acc=0.5778 f1=0.5531 | epoch_time=0.02s
[Epoch 039] train_loss=0.8334 acc=0.5869 f1=0.5583 | val_loss=0.8424 acc=0.5629 f1=0.5359 | epoch_time=0.02s
[Epoch 040] train_loss=0.8328 acc=0.5804 f1=0.5503 | val_loss=0.8418 acc=0.5609 f1=0.5317 | epoch_time=0.02s
[Epoch 041] train_loss=0.8330 acc=0.5834 f1=0.5539 | val_loss=0.8417 acc=0.5619 f1=0.5342 | epoch_time=0.02s
[Epoch 042] train_loss=0.8325 acc=0.5881 f1=0.5596 | val_loss=0.8410 acc=0.5649 f1=0.5378 | epoch_time=0.02s
[Epoch 043] train_loss=0.8327 acc=0.5979 f1=0.5718 | val_loss=0.8409 acc=0.5798 f1=0.5559 | epoch_time=0.02s
[Epoch 044] train_loss=0.8352 acc=0.5741 f1=0.5430 | val_loss=0.8444 acc=0.5499 f1=0.5183 | epoch_time=0.02s
[Epoch 045] train_loss=0.8326 acc=0.5829 f1=0.5542 | val_loss=0.8412 acc=0.5679 f1=0.5413 | epoch_time=0.02s
[Epoch 046] train_loss=0.8326 acc=0.5989 f1=0.5735 | val_loss=0.8403 acc=0.5768 f1=0.5524 | epoch_time=0.02s
[Epoch 047] train_loss=0.8340 acc=0.5696 f1=0.5386 | val_loss=0.8431 acc=0.5569 f1=0.5254 | epoch_time=0.02s
[Epoch 048] train_loss=0.8316 acc=0.5814 f1=0.5517 | val_loss=0.8400 acc=0.5569 f1=0.5281 | epoch_time=0.02s
[Epoch 049] train_loss=0.8315 acc=0.5839 f1=0.5553 | val_loss=0.8399 acc=0.5629 f1=0.5357 | epoch_time=0.02s
[Epoch 050] train_loss=0.8317 acc=0.5979 f1=0.5720 | val_loss=0.8396 acc=0.5758 f1=0.5517 | epoch_time=0.02s
[Epoch 051] train_loss=0.8311 acc=0.5936 f1=0.5675 | val_loss=0.8390 acc=0.5709 f1=0.5459 | epoch_time=0.02s
[Epoch 052] train_loss=0.8309 acc=0.5869 f1=0.5593 | val_loss=0.8391 acc=0.5699 f1=0.5443 | epoch_time=0.02s
[Epoch 053] train_loss=0.8318 acc=0.5804 f1=0.5515 | val_loss=0.8402 acc=0.5599 f1=0.5319 | epoch_time=0.02s
[Epoch 054] train_loss=0.8309 acc=0.5946 f1=0.5684 | val_loss=0.8387 acc=0.5758 f1=0.5515 | epoch_time=0.02s
[Epoch 055] train_loss=0.8307 acc=0.5966 f1=0.5709 | val_loss=0.8385 acc=0.5778 f1=0.5538 | epoch_time=0.02s
[Epoch 056] train_loss=0.8308 acc=0.5906 f1=0.5641 | val_loss=0.8386 acc=0.5689 f1=0.5435 | epoch_time=0.02s
[Epoch 057] train_loss=0.8309 acc=0.5874 f1=0.5602 | val_loss=0.8388 acc=0.5689 f1=0.5431 | epoch_time=0.02s
[Epoch 058] train_loss=0.8315 acc=0.5999 f1=0.5745 | val_loss=0.8386 acc=0.5719 f1=0.5465 | epoch_time=0.02s
[Epoch 059] train_loss=0.8314 acc=0.5901 f1=0.5622 | val_loss=0.8394 acc=0.5629 f1=0.5363 | epoch_time=0.02s
[Epoch 060] train_loss=0.8311 acc=0.6036 f1=0.5784 | val_loss=0.8384 acc=0.5838 f1=0.5603 | epoch_time=0.02s
[Epoch 061] train_loss=0.8302 acc=0.5861 f1=0.5585 | val_loss=0.8381 acc=0.5669 f1=0.5407 | epoch_time=0.02s
[Epoch 062] train_loss=0.8302 acc=0.5859 f1=0.5579 | val_loss=0.8381 acc=0.5649 f1=0.5386 | epoch_time=0.02s
