epoch,depth,n_estimators,train_f1,valid_f1,time_sec
1,,50,0.9990292662186864,0.49052690637318397,0.4349227080000002
2,,100,1.0,0.49018771126056365,0.6320637500000004
3,,150,1.0,0.4920382834738608,0.9624904160000014
4,,200,1.0,0.49501733416568017,1.3245483339999993
5,,250,1.0,0.49712761016870327,1.5758467500000002
6,,300,1.0,0.48919203047764803,1.8125222500000007
7,,350,1.0,0.48581536116923096,2.1487130000000008
8,,400,1.0,0.48623282014745817,2.403788500000001
9,,450,1.0,0.48453877009336044,2.735255500000001
10,,500,1.0,0.48562412651221465,2.977349499999999
11,10.0,50,0.8157520362054687,0.48265357457982594,0.41999591599999775
12,10.0,100,0.8203032530441945,0.48195099061534,0.6606561250000027
13,10.0,150,0.8165102520245835,0.4946866755914966,0.9498660000000001
14,10.0,200,0.8181740823780356,0.4933208390293034,1.1766200419999961
15,10.0,250,0.8172915362374212,0.48757976101381467,1.5193886670000012
16,10.0,300,0.8157902752308555,0.47941870993227703,1.7787686670000014
17,10.0,350,0.8158078995106177,0.4858982951687489,2.046689082999997
18,10.0,400,0.8167542519782346,0.4880086553878916,2.2987675410000037
19,14.0,50,0.9679292609760319,0.48766702559720504,0.39862445800000046
20,14.0,100,0.9712579521222032,0.4977499409241437,0.6400404170000016
21,14.0,150,0.9747812494035731,0.5002898733132245,0.9644469999999998
22,14.0,200,0.9761864732742049,0.49582422948279925,1.2251848749999965
23,14.0,250,0.9752664801844422,0.48866808488848273,1.4884380000000021
24,14.0,300,0.9766123218110125,0.48507850981865885,1.8184049170000023
25,14.0,350,0.9757982220584995,0.4892707140361585,2.1017312500000003
26,14.0,400,0.9768479153896742,0.4889640420099286,2.3302363749999984
27,18.0,50,0.9978650625320504,0.48665354739274325,0.42035670900000355
28,18.0,100,1.0,0.4981126110736126,0.6852843750000019
29,18.0,150,0.9997089237249022,0.49049228126230904,1.0451406670000054
30,18.0,200,1.0,0.4866635809756727,1.2071519160000008
31,18.0,250,1.0,0.4861100988248467,1.4997220829999947
32,18.0,300,1.0,0.48576011350888837,1.829404457999999
33,18.0,350,1.0,0.4887357355201899,2.0844718749999984
34,22.0,50,0.9988358301881076,0.4914506264162807,0.4187674579999978
35,22.0,100,1.0,0.49412205175860635,0.6555438329999959
36,22.0,150,1.0,0.4953499424827273,1.0074859590000003
37,22.0,200,1.0,0.4925846570045481,1.2162619590000077
38,22.0,250,1.0,0.4934519396874526,1.5066551670000052
39,22.0,300,1.0,0.4909630115010012,1.8375986249999983
40,22.0,350,1.0,0.4853058851724228,2.064614917
41,22.0,400,1.0,0.48936339439830273,2.2914226249999956
42,26.0,50,0.9990292662186864,0.49052690637318397,0.42689591699999596
43,26.0,100,1.0,0.4930116596342923,0.6450686249999933
44,26.0,150,1.0,0.4920382834738608,1.0328014579999945
45,26.0,200,1.0,0.49501733416568017,1.286210875000009
46,26.0,250,1.0,0.49668928219680597,1.632848542000005
47,26.0,300,1.0,0.48956380387274434,1.863248375000012
48,26.0,350,1.0,0.48580054979892084,2.140822667000009
49,26.0,400,1.0,0.48586475793532424,2.3781248750000117
50,26.0,450,1.0,0.48489452611698647,2.5999754579999887
51,26.0,500,1.0,0.48562412651221465,2.885369291999993
52,30.0,50,0.9990292662186864,0.49052690637318397,0.4822378749999956
53,30.0,100,1.0,0.49018771126056365,0.686358915999989
54,30.0,150,1.0,0.4920382834738608,1.0482163329999992
55,30.0,200,1.0,0.49501733416568017,1.2333615419999973
56,30.0,250,1.0,0.49712761016870327,1.5435233750000066
57,30.0,300,1.0,0.48919203047764803,1.8431739170000014
58,30.0,350,1.0,0.48581536116923096,2.044450709000003
59,30.0,400,1.0,0.48623282014745817,2.417568250000002
60,30.0,450,1.0,0.48453877009336044,2.6583747090000003
61,30.0,500,1.0,0.48562412651221465,2.958721667000006
