[Epoch 001] train_loss=1.0200 acc=0.4814 f1=0.4708 | val_loss=1.0309 acc=0.4756 f1=0.4657 | epoch_time=0.02s
[Epoch 002] train_loss=0.9864 acc=0.4945 f1=0.4847 | val_loss=0.9993 acc=0.4789 f1=0.4696 | epoch_time=0.02s
[Epoch 003] train_loss=0.9668 acc=0.5039 f1=0.4938 | val_loss=0.9805 acc=0.4945 f1=0.4842 | epoch_time=0.02s
[Epoch 004] train_loss=0.9546 acc=0.5003 f1=0.4868 | val_loss=0.9687 acc=0.4956 f1=0.4811 | epoch_time=0.02s
[Epoch 005] train_loss=0.9453 acc=0.5058 f1=0.4946 | val_loss=0.9603 acc=0.5011 f1=0.4889 | epoch_time=0.02s
[Epoch 006] train_loss=0.9386 acc=0.5163 f1=0.5064 | val_loss=0.9542 acc=0.5155 f1=0.5045 | epoch_time=0.02s
[Epoch 007] train_loss=0.9336 acc=0.5172 f1=0.5070 | val_loss=0.9496 acc=0.5188 f1=0.5084 | epoch_time=0.02s
[Epoch 008] train_loss=0.9297 acc=0.5216 f1=0.5117 | val_loss=0.9455 acc=0.5188 f1=0.5088 | epoch_time=0.02s
[Epoch 009] train_loss=0.9263 acc=0.5299 f1=0.5203 | val_loss=0.9425 acc=0.5299 f1=0.5200 | epoch_time=0.02s
[Epoch 010] train_loss=0.9235 acc=0.5319 f1=0.5214 | val_loss=0.9397 acc=0.5288 f1=0.5187 | epoch_time=0.02s
[Epoch 011] train_loss=0.9215 acc=0.5424 f1=0.5329 | val_loss=0.9374 acc=0.5355 f1=0.5249 | epoch_time=0.02s
[Epoch 012] train_loss=0.9193 acc=0.5396 f1=0.5303 | val_loss=0.9355 acc=0.5333 f1=0.5232 | epoch_time=0.02s
[Epoch 013] train_loss=0.9174 acc=0.5421 f1=0.5324 | val_loss=0.9336 acc=0.5299 f1=0.5195 | epoch_time=0.02s
[Epoch 014] train_loss=0.9159 acc=0.5452 f1=0.5353 | val_loss=0.9320 acc=0.5322 f1=0.5220 | epoch_time=0.02s
[Epoch 015] train_loss=0.9146 acc=0.5432 f1=0.5341 | val_loss=0.9309 acc=0.5333 f1=0.5227 | epoch_time=0.02s
[Epoch 016] train_loss=0.9145 acc=0.5593 f1=0.5497 | val_loss=0.9308 acc=0.5455 f1=0.5358 | epoch_time=0.02s
[Epoch 017] train_loss=0.9129 acc=0.5338 f1=0.5236 | val_loss=0.9297 acc=0.5288 f1=0.5188 | epoch_time=0.02s
[Epoch 018] train_loss=0.9126 acc=0.5258 f1=0.5145 | val_loss=0.9296 acc=0.5222 f1=0.5115 | epoch_time=0.02s
[Epoch 019] train_loss=0.9104 acc=0.5482 f1=0.5390 | val_loss=0.9268 acc=0.5322 f1=0.5212 | epoch_time=0.02s
[Epoch 020] train_loss=0.9093 acc=0.5443 f1=0.5351 | val_loss=0.9261 acc=0.5333 f1=0.5231 | epoch_time=0.02s
[Epoch 021] train_loss=0.9093 acc=0.5371 f1=0.5271 | val_loss=0.9262 acc=0.5322 f1=0.5223 | epoch_time=0.02s
[Epoch 022] train_loss=0.9088 acc=0.5629 f1=0.5546 | val_loss=0.9251 acc=0.5466 f1=0.5372 | epoch_time=0.02s
[Epoch 023] train_loss=0.9078 acc=0.5582 f1=0.5499 | val_loss=0.9242 acc=0.5410 f1=0.5320 | epoch_time=0.02s
[Epoch 024] train_loss=0.9066 acc=0.5482 f1=0.5395 | val_loss=0.9230 acc=0.5299 f1=0.5200 | epoch_time=0.02s
[Epoch 025] train_loss=0.9075 acc=0.5643 f1=0.5546 | val_loss=0.9238 acc=0.5499 f1=0.5407 | epoch_time=0.02s
[Epoch 026] train_loss=0.9061 acc=0.5548 f1=0.5462 | val_loss=0.9227 acc=0.5366 f1=0.5276 | epoch_time=0.02s
[Epoch 027] train_loss=0.9057 acc=0.5418 f1=0.5330 | val_loss=0.9227 acc=0.5355 f1=0.5263 | epoch_time=0.02s
[Epoch 028] train_loss=0.9053 acc=0.5584 f1=0.5501 | val_loss=0.9219 acc=0.5377 f1=0.5289 | epoch_time=0.02s
[Epoch 029] train_loss=0.9050 acc=0.5579 f1=0.5495 | val_loss=0.9216 acc=0.5410 f1=0.5321 | epoch_time=0.02s
[Epoch 030] train_loss=0.9048 acc=0.5482 f1=0.5395 | val_loss=0.9218 acc=0.5432 f1=0.5352 | epoch_time=0.02s
[Epoch 031] train_loss=0.9040 acc=0.5488 f1=0.5407 | val_loss=0.9213 acc=0.5310 f1=0.5226 | epoch_time=0.02s
[Epoch 032] train_loss=0.9033 acc=0.5524 f1=0.5441 | val_loss=0.9198 acc=0.5333 f1=0.5239 | epoch_time=0.02s
[Epoch 033] train_loss=0.9029 acc=0.5535 f1=0.5453 | val_loss=0.9196 acc=0.5355 f1=0.5266 | epoch_time=0.02s
[Epoch 034] train_loss=0.9029 acc=0.5548 f1=0.5467 | val_loss=0.9197 acc=0.5366 f1=0.5281 | epoch_time=0.02s
[Epoch 035] train_loss=0.9030 acc=0.5573 f1=0.5494 | val_loss=0.9197 acc=0.5421 f1=0.5339 | epoch_time=0.02s
[Epoch 036] train_loss=0.9022 acc=0.5590 f1=0.5510 | val_loss=0.9187 acc=0.5421 f1=0.5338 | epoch_time=0.02s
[Epoch 037] train_loss=0.9020 acc=0.5582 f1=0.5502 | val_loss=0.9186 acc=0.5377 f1=0.5293 | epoch_time=0.02s
[Epoch 038] train_loss=0.9017 acc=0.5548 f1=0.5465 | val_loss=0.9182 acc=0.5344 f1=0.5255 | epoch_time=0.02s
[Epoch 039] train_loss=0.9030 acc=0.5393 f1=0.5301 | val_loss=0.9202 acc=0.5333 f1=0.5253 | epoch_time=0.02s
[Epoch 040] train_loss=0.9011 acc=0.5540 f1=0.5456 | val_loss=0.9179 acc=0.5388 f1=0.5303 | epoch_time=0.02s
[Epoch 041] train_loss=0.9015 acc=0.5501 f1=0.5419 | val_loss=0.9185 acc=0.5344 f1=0.5266 | epoch_time=0.02s
[Epoch 042] train_loss=0.9026 acc=0.5657 f1=0.5569 | val_loss=0.9190 acc=0.5466 f1=0.5379 | epoch_time=0.02s
[Epoch 043] train_loss=0.9011 acc=0.5512 f1=0.5430 | val_loss=0.9179 acc=0.5333 f1=0.5252 | epoch_time=0.02s
[Epoch 044] train_loss=0.9014 acc=0.5637 f1=0.5555 | val_loss=0.9179 acc=0.5443 f1=0.5359 | epoch_time=0.02s
[Epoch 045] train_loss=0.9007 acc=0.5568 f1=0.5487 | val_loss=0.9174 acc=0.5421 f1=0.5347 | epoch_time=0.02s
[Epoch 046] train_loss=0.9015 acc=0.5427 f1=0.5342 | val_loss=0.9187 acc=0.5344 f1=0.5267 | epoch_time=0.02s
[Epoch 047] train_loss=0.9010 acc=0.5634 f1=0.5558 | val_loss=0.9171 acc=0.5455 f1=0.5378 | epoch_time=0.02s
[Epoch 048] train_loss=0.8997 acc=0.5493 f1=0.5412 | val_loss=0.9163 acc=0.5355 f1=0.5274 | epoch_time=0.02s
[Epoch 049] train_loss=0.9016 acc=0.5673 f1=0.5588 | val_loss=0.9182 acc=0.5499 f1=0.5416 | epoch_time=0.02s
[Epoch 050] train_loss=0.8994 acc=0.5571 f1=0.5491 | val_loss=0.9157 acc=0.5388 f1=0.5308 | epoch_time=0.02s
[Epoch 051] train_loss=0.9001 acc=0.5482 f1=0.5399 | val_loss=0.9170 acc=0.5399 f1=0.5327 | epoch_time=0.02s
[Epoch 052] train_loss=0.9002 acc=0.5476 f1=0.5393 | val_loss=0.9170 acc=0.5432 f1=0.5362 | epoch_time=0.02s
[Epoch 053] train_loss=0.9004 acc=0.5648 f1=0.5566 | val_loss=0.9168 acc=0.5488 f1=0.5409 | epoch_time=0.02s
[Epoch 054] train_loss=0.8998 acc=0.5482 f1=0.5400 | val_loss=0.9167 acc=0.5421 f1=0.5351 | epoch_time=0.02s
[Epoch 055] train_loss=0.8992 acc=0.5598 f1=0.5521 | val_loss=0.9156 acc=0.5488 f1=0.5413 | epoch_time=0.02s
[Epoch 056] train_loss=0.8991 acc=0.5482 f1=0.5399 | val_loss=0.9157 acc=0.5421 f1=0.5343 | epoch_time=0.02s
[Epoch 057] train_loss=0.9015 acc=0.5371 f1=0.5278 | val_loss=0.9186 acc=0.5333 f1=0.5251 | epoch_time=0.02s
[Epoch 058] train_loss=0.8984 acc=0.5584 f1=0.5505 | val_loss=0.9147 acc=0.5432 f1=0.5354 | epoch_time=0.02s
[Epoch 059] train_loss=0.8981 acc=0.5543 f1=0.5464 | val_loss=0.9143 acc=0.5377 f1=0.5295 | epoch_time=0.02s
[Epoch 060] train_loss=0.8996 acc=0.5452 f1=0.5364 | val_loss=0.9163 acc=0.5432 f1=0.5355 | epoch_time=0.02s
[Epoch 061] train_loss=0.8983 acc=0.5546 f1=0.5462 | val_loss=0.9146 acc=0.5388 f1=0.5302 | epoch_time=0.02s
[Epoch 062] train_loss=0.8981 acc=0.5607 f1=0.5530 | val_loss=0.9146 acc=0.5477 f1=0.5399 | epoch_time=0.02s
[Epoch 063] train_loss=0.8981 acc=0.5593 f1=0.5515 | val_loss=0.9143 acc=0.5421 f1=0.5341 | epoch_time=0.02s
[Epoch 064] train_loss=0.8988 acc=0.5634 f1=0.5553 | val_loss=0.9150 acc=0.5510 f1=0.5432 | epoch_time=0.02s
[Epoch 065] train_loss=0.8992 acc=0.5673 f1=0.5597 | val_loss=0.9151 acc=0.5543 f1=0.5469 | epoch_time=0.02s
[Epoch 066] train_loss=0.8985 acc=0.5615 f1=0.5539 | val_loss=0.9147 acc=0.5455 f1=0.5376 | epoch_time=0.02s
[Epoch 067] train_loss=0.8981 acc=0.5507 f1=0.5431 | val_loss=0.9145 acc=0.5421 f1=0.5337 | epoch_time=0.02s
[Epoch 068] train_loss=0.8979 acc=0.5501 f1=0.5426 | val_loss=0.9145 acc=0.5388 f1=0.5307 | epoch_time=0.02s
[Epoch 069] train_loss=0.8985 acc=0.5496 f1=0.5416 | val_loss=0.9150 acc=0.5399 f1=0.5325 | epoch_time=0.02s
[Epoch 070] train_loss=0.8999 acc=0.5670 f1=0.5591 | val_loss=0.9161 acc=0.5588 f1=0.5513 | epoch_time=0.02s
[Epoch 071] train_loss=0.8978 acc=0.5568 f1=0.5491 | val_loss=0.9140 acc=0.5432 f1=0.5357 | epoch_time=0.02s
[Epoch 072] train_loss=0.8982 acc=0.5640 f1=0.5562 | val_loss=0.9144 acc=0.5510 f1=0.5433 | epoch_time=0.02s
[Epoch 073] train_loss=0.8978 acc=0.5510 f1=0.5431 | val_loss=0.9142 acc=0.5410 f1=0.5329 | epoch_time=0.02s
[Epoch 074] train_loss=0.8975 acc=0.5548 f1=0.5471 | val_loss=0.9138 acc=0.5410 f1=0.5332 | epoch_time=0.02s
[Epoch 075] train_loss=0.8974 acc=0.5526 f1=0.5448 | val_loss=0.9137 acc=0.5399 f1=0.5316 | epoch_time=0.02s
[Epoch 076] train_loss=0.8971 acc=0.5524 f1=0.5445 | val_loss=0.9134 acc=0.5377 f1=0.5300 | epoch_time=0.02s
[Epoch 077] train_loss=0.8970 acc=0.5640 f1=0.5563 | val_loss=0.9128 acc=0.5488 f1=0.5410 | epoch_time=0.02s
[Epoch 078] train_loss=0.8986 acc=0.5681 f1=0.5603 | val_loss=0.9145 acc=0.5543 f1=0.5471 | epoch_time=0.02s
[Epoch 079] train_loss=0.8979 acc=0.5590 f1=0.5519 | val_loss=0.9140 acc=0.5443 f1=0.5374 | epoch_time=0.02s
[Epoch 080] train_loss=0.8977 acc=0.5598 f1=0.5525 | val_loss=0.9136 acc=0.5532 f1=0.5461 | epoch_time=0.02s
[Epoch 081] train_loss=0.8976 acc=0.5482 f1=0.5408 | val_loss=0.9139 acc=0.5388 f1=0.5319 | epoch_time=0.02s
[Epoch 082] train_loss=0.8966 acc=0.5568 f1=0.5492 | val_loss=0.9124 acc=0.5477 f1=0.5401 | epoch_time=0.02s
[Epoch 083] train_loss=0.8970 acc=0.5571 f1=0.5495 | val_loss=0.9130 acc=0.5443 f1=0.5368 | epoch_time=0.02s
[Epoch 084] train_loss=0.8972 acc=0.5587 f1=0.5513 | val_loss=0.9133 acc=0.5477 f1=0.5405 | epoch_time=0.02s
[Epoch 085] train_loss=0.8972 acc=0.5546 f1=0.5470 | val_loss=0.9132 acc=0.5432 f1=0.5357 | epoch_time=0.02s
[Epoch 086] train_loss=0.8970 acc=0.5607 f1=0.5530 | val_loss=0.9130 acc=0.5488 f1=0.5413 | epoch_time=0.02s
[Epoch 087] train_loss=0.8977 acc=0.5681 f1=0.5606 | val_loss=0.9134 acc=0.5588 f1=0.5517 | epoch_time=0.02s
[Epoch 088] train_loss=0.8970 acc=0.5604 f1=0.5531 | val_loss=0.9129 acc=0.5521 f1=0.5448 | epoch_time=0.02s
[Epoch 089] train_loss=0.8970 acc=0.5623 f1=0.5548 | val_loss=0.9128 acc=0.5554 f1=0.5482 | epoch_time=0.02s
[Epoch 090] train_loss=0.8969 acc=0.5601 f1=0.5529 | val_loss=0.9129 acc=0.5488 f1=0.5415 | epoch_time=0.02s
[Epoch 091] train_loss=0.8967 acc=0.5640 f1=0.5569 | val_loss=0.9125 acc=0.5510 f1=0.5439 | epoch_time=0.02s
[Epoch 092] train_loss=0.8982 acc=0.5438 f1=0.5357 | val_loss=0.9146 acc=0.5377 f1=0.5307 | epoch_time=0.02s
Early stopping at epoch 92 (best epoch=82)
Total training time: 1.51s
