[Epoch 001] train_loss=0.9230 acc=0.5317 f1=0.4812 | val_loss=0.9052 acc=0.5828 f1=0.5320 | epoch_time=0.13s
[Epoch 002] train_loss=0.8125 acc=0.5761 f1=0.5374 | val_loss=0.8016 acc=0.6078 f1=0.5619 | epoch_time=0.13s
[Epoch 003] train_loss=0.7956 acc=0.5939 f1=0.5601 | val_loss=0.7790 acc=0.6168 f1=0.5810 | epoch_time=0.14s
[Epoch 004] train_loss=0.7873 acc=0.5904 f1=0.5575 | val_loss=0.7690 acc=0.6287 f1=0.5838 | epoch_time=0.13s
[Epoch 005] train_loss=0.7749 acc=0.6046 f1=0.5770 | val_loss=0.7595 acc=0.6407 f1=0.6064 | epoch_time=0.13s
[Epoch 006] train_loss=0.7632 acc=0.6123 f1=0.5855 | val_loss=0.7534 acc=0.6357 f1=0.6011 | epoch_time=0.13s
[Epoch 007] train_loss=0.7561 acc=0.6201 f1=0.5936 | val_loss=0.7437 acc=0.6477 f1=0.6171 | epoch_time=0.13s
[Epoch 008] train_loss=0.7519 acc=0.6206 f1=0.5946 | val_loss=0.7394 acc=0.6537 f1=0.6191 | epoch_time=0.13s
[Epoch 009] train_loss=0.7408 acc=0.6390 f1=0.6153 | val_loss=0.7325 acc=0.6507 f1=0.6219 | epoch_time=0.13s
[Epoch 010] train_loss=0.7348 acc=0.6363 f1=0.6131 | val_loss=0.7286 acc=0.6417 f1=0.6127 | epoch_time=0.13s
[Epoch 011] train_loss=0.7315 acc=0.6291 f1=0.6040 | val_loss=0.7276 acc=0.6387 f1=0.6124 | epoch_time=0.13s
[Epoch 012] train_loss=0.7301 acc=0.6323 f1=0.6092 | val_loss=0.7181 acc=0.6697 f1=0.6459 | epoch_time=0.13s
[Epoch 013] train_loss=0.7244 acc=0.6460 f1=0.6256 | val_loss=0.7238 acc=0.6517 f1=0.6212 | epoch_time=0.13s
[Epoch 014] train_loss=0.7230 acc=0.6420 f1=0.6166 | val_loss=0.7113 acc=0.6657 f1=0.6438 | epoch_time=0.13s
[Epoch 015] train_loss=0.7205 acc=0.6473 f1=0.6248 | val_loss=0.7157 acc=0.6517 f1=0.6175 | epoch_time=0.13s
[Epoch 016] train_loss=0.7211 acc=0.6450 f1=0.6271 | val_loss=0.7079 acc=0.6597 f1=0.6418 | epoch_time=0.26s
[Epoch 017] train_loss=0.7206 acc=0.6410 f1=0.6188 | val_loss=0.7055 acc=0.6587 f1=0.6340 | epoch_time=0.13s
[Epoch 018] train_loss=0.7127 acc=0.6565 f1=0.6363 | val_loss=0.7106 acc=0.6687 f1=0.6440 | epoch_time=0.13s
[Epoch 019] train_loss=0.7068 acc=0.6485 f1=0.6255 | val_loss=0.7059 acc=0.6587 f1=0.6361 | epoch_time=0.13s
[Epoch 020] train_loss=0.7004 acc=0.6658 f1=0.6480 | val_loss=0.7009 acc=0.6727 f1=0.6511 | epoch_time=0.13s
[Epoch 021] train_loss=0.7032 acc=0.6608 f1=0.6406 | val_loss=0.6911 acc=0.6697 f1=0.6458 | epoch_time=0.13s
[Epoch 022] train_loss=0.6933 acc=0.6658 f1=0.6455 | val_loss=0.6999 acc=0.6637 f1=0.6414 | epoch_time=0.13s
[Epoch 023] train_loss=0.7060 acc=0.6598 f1=0.6403 | val_loss=0.6900 acc=0.6707 f1=0.6513 | epoch_time=0.13s
[Epoch 024] train_loss=0.6959 acc=0.6643 f1=0.6450 | val_loss=0.6929 acc=0.6667 f1=0.6440 | epoch_time=0.13s
[Epoch 025] train_loss=0.6879 acc=0.6663 f1=0.6486 | val_loss=0.6858 acc=0.6776 f1=0.6588 | epoch_time=0.13s
[Epoch 026] train_loss=0.6892 acc=0.6707 f1=0.6507 | val_loss=0.6836 acc=0.6766 f1=0.6559 | epoch_time=0.13s
[Epoch 027] train_loss=0.6875 acc=0.6695 f1=0.6511 | val_loss=0.6858 acc=0.6707 f1=0.6476 | epoch_time=0.13s
[Epoch 028] train_loss=0.6903 acc=0.6613 f1=0.6409 | val_loss=0.6897 acc=0.6687 f1=0.6425 | epoch_time=0.13s
[Epoch 029] train_loss=0.6843 acc=0.6727 f1=0.6544 | val_loss=0.6822 acc=0.6856 f1=0.6657 | epoch_time=0.13s
[Epoch 030] train_loss=0.6824 acc=0.6782 f1=0.6609 | val_loss=0.6869 acc=0.6637 f1=0.6434 | epoch_time=0.13s
[Epoch 031] train_loss=0.6807 acc=0.6720 f1=0.6526 | val_loss=0.6775 acc=0.6886 f1=0.6699 | epoch_time=0.13s
[Epoch 032] train_loss=0.6803 acc=0.6757 f1=0.6573 | val_loss=0.6754 acc=0.6796 f1=0.6596 | epoch_time=0.14s
[Epoch 033] train_loss=0.6738 acc=0.6795 f1=0.6595 | val_loss=0.6741 acc=0.6796 f1=0.6597 | epoch_time=0.13s
[Epoch 034] train_loss=0.6831 acc=0.6685 f1=0.6512 | val_loss=0.6767 acc=0.6816 f1=0.6629 | epoch_time=0.13s
[Epoch 035] train_loss=0.6715 acc=0.6797 f1=0.6605 | val_loss=0.6715 acc=0.6697 f1=0.6457 | epoch_time=0.13s
[Epoch 036] train_loss=0.6754 acc=0.6762 f1=0.6586 | val_loss=0.6726 acc=0.6766 f1=0.6586 | epoch_time=0.13s
[Epoch 037] train_loss=0.6754 acc=0.6770 f1=0.6597 | val_loss=0.6696 acc=0.6836 f1=0.6675 | epoch_time=0.13s
[Epoch 038] train_loss=0.6718 acc=0.6787 f1=0.6615 | val_loss=0.6805 acc=0.6667 f1=0.6465 | epoch_time=0.13s
[Epoch 039] train_loss=0.6764 acc=0.6682 f1=0.6479 | val_loss=0.6637 acc=0.6836 f1=0.6680 | epoch_time=0.13s
[Epoch 040] train_loss=0.6700 acc=0.6760 f1=0.6594 | val_loss=0.6700 acc=0.6866 f1=0.6650 | epoch_time=0.13s
[Epoch 041] train_loss=0.6802 acc=0.6735 f1=0.6532 | val_loss=0.6658 acc=0.6896 f1=0.6709 | epoch_time=0.13s
[Epoch 042] train_loss=0.6695 acc=0.6742 f1=0.6577 | val_loss=0.6711 acc=0.6766 f1=0.6595 | epoch_time=0.13s
[Epoch 043] train_loss=0.6718 acc=0.6757 f1=0.6573 | val_loss=0.6636 acc=0.6846 f1=0.6655 | epoch_time=0.13s
[Epoch 044] train_loss=0.6717 acc=0.6745 f1=0.6544 | val_loss=0.6703 acc=0.6766 f1=0.6586 | epoch_time=0.13s
[Epoch 045] train_loss=0.6653 acc=0.6852 f1=0.6658 | val_loss=0.6594 acc=0.6866 f1=0.6691 | epoch_time=0.13s
[Epoch 046] train_loss=0.6587 acc=0.6797 f1=0.6630 | val_loss=0.6620 acc=0.6846 f1=0.6662 | epoch_time=0.13s
[Epoch 047] train_loss=0.6636 acc=0.6827 f1=0.6651 | val_loss=0.6614 acc=0.6876 f1=0.6696 | epoch_time=0.13s
[Epoch 048] train_loss=0.6524 acc=0.6890 f1=0.6717 | val_loss=0.6607 acc=0.6916 f1=0.6735 | epoch_time=0.13s
[Epoch 049] train_loss=0.6567 acc=0.6962 f1=0.6807 | val_loss=0.6593 acc=0.6876 f1=0.6705 | epoch_time=0.13s
[Epoch 050] train_loss=0.6624 acc=0.6820 f1=0.6651 | val_loss=0.6589 acc=0.6906 f1=0.6714 | epoch_time=0.13s
[Epoch 051] train_loss=0.6648 acc=0.6810 f1=0.6644 | val_loss=0.6613 acc=0.6866 f1=0.6705 | epoch_time=0.13s
[Epoch 052] train_loss=0.6507 acc=0.6885 f1=0.6692 | val_loss=0.6592 acc=0.6906 f1=0.6690 | epoch_time=0.13s
[Epoch 053] train_loss=0.6531 acc=0.6902 f1=0.6736 | val_loss=0.6603 acc=0.6876 f1=0.6687 | epoch_time=0.13s
[Epoch 054] train_loss=0.6619 acc=0.6785 f1=0.6606 | val_loss=0.6623 acc=0.6896 f1=0.6725 | epoch_time=0.13s
[Epoch 055] train_loss=0.6624 acc=0.6860 f1=0.6701 | val_loss=0.6582 acc=0.6926 f1=0.6753 | epoch_time=0.13s
[Epoch 056] train_loss=0.6569 acc=0.6920 f1=0.6746 | val_loss=0.6569 acc=0.6926 f1=0.6744 | epoch_time=0.13s
[Epoch 057] train_loss=0.6571 acc=0.6812 f1=0.6640 | val_loss=0.6539 acc=0.6866 f1=0.6693 | epoch_time=0.13s
[Epoch 058] train_loss=0.6563 acc=0.6790 f1=0.6608 | val_loss=0.6562 acc=0.6886 f1=0.6707 | epoch_time=0.13s
[Epoch 059] train_loss=0.6511 acc=0.6840 f1=0.6665 | val_loss=0.6567 acc=0.6816 f1=0.6630 | epoch_time=0.13s
[Epoch 060] train_loss=0.6479 acc=0.6917 f1=0.6751 | val_loss=0.6551 acc=0.6916 f1=0.6743 | epoch_time=0.13s
[Epoch 061] train_loss=0.6556 acc=0.6875 f1=0.6707 | val_loss=0.6561 acc=0.6816 f1=0.6655 | epoch_time=0.13s
[Epoch 062] train_loss=0.6510 acc=0.6882 f1=0.6721 | val_loss=0.6561 acc=0.6806 f1=0.6631 | epoch_time=0.13s
[Epoch 063] train_loss=0.6517 acc=0.6905 f1=0.6751 | val_loss=0.6557 acc=0.6816 f1=0.6630 | epoch_time=0.13s
[Epoch 064] train_loss=0.6522 acc=0.6915 f1=0.6761 | val_loss=0.6533 acc=0.6876 f1=0.6706 | epoch_time=0.13s
[Epoch 065] train_loss=0.6472 acc=0.6862 f1=0.6688 | val_loss=0.6538 acc=0.6836 f1=0.6655 | epoch_time=0.13s
[Epoch 066] train_loss=0.6471 acc=0.6962 f1=0.6798 | val_loss=0.6542 acc=0.6856 f1=0.6682 | epoch_time=0.13s
[Epoch 067] train_loss=0.6514 acc=0.6915 f1=0.6759 | val_loss=0.6540 acc=0.6856 f1=0.6688 | epoch_time=0.13s
[Epoch 068] train_loss=0.6548 acc=0.6927 f1=0.6767 | val_loss=0.6535 acc=0.6836 f1=0.6658 | epoch_time=0.13s
[Epoch 069] train_loss=0.6534 acc=0.6890 f1=0.6725 | val_loss=0.6533 acc=0.6866 f1=0.6684 | epoch_time=0.13s
[Epoch 070] train_loss=0.6474 acc=0.6937 f1=0.6778 | val_loss=0.6542 acc=0.6836 f1=0.6657 | epoch_time=0.13s
[Epoch 071] train_loss=0.6514 acc=0.6882 f1=0.6713 | val_loss=0.6547 acc=0.6846 f1=0.6664 | epoch_time=0.13s
[Epoch 072] train_loss=0.6505 acc=0.6820 f1=0.6637 | val_loss=0.6537 acc=0.6886 f1=0.6711 | epoch_time=0.13s
[Epoch 073] train_loss=0.6584 acc=0.6830 f1=0.6676 | val_loss=0.6535 acc=0.6846 f1=0.6673 | epoch_time=0.13s
[Epoch 074] train_loss=0.6539 acc=0.6917 f1=0.6747 | val_loss=0.6530 acc=0.6856 f1=0.6676 | epoch_time=0.25s
[Epoch 075] train_loss=0.6452 acc=0.6970 f1=0.6811 | val_loss=0.6532 acc=0.6856 f1=0.6681 | epoch_time=0.13s
[Epoch 076] train_loss=0.6539 acc=0.6947 f1=0.6792 | val_loss=0.6532 acc=0.6866 f1=0.6695 | epoch_time=0.13s
[Epoch 077] train_loss=0.6574 acc=0.6865 f1=0.6685 | val_loss=0.6536 acc=0.6846 f1=0.6670 | epoch_time=0.13s
[Epoch 078] train_loss=0.6512 acc=0.6822 f1=0.6657 | val_loss=0.6538 acc=0.6846 f1=0.6668 | epoch_time=0.13s
[Epoch 079] train_loss=0.6441 acc=0.6915 f1=0.6742 | val_loss=0.6528 acc=0.6856 f1=0.6686 | epoch_time=0.13s
