[Epoch 001] train_loss=0.9063 acc=0.5251 f1=0.4956 | val_loss=0.8920 acc=0.5554 f1=0.4707 | epoch_time=0.13s
[Epoch 002] train_loss=0.8091 acc=0.5777 f1=0.5404 | val_loss=0.7952 acc=0.6004 f1=0.5480 | epoch_time=0.13s
[Epoch 003] train_loss=0.7877 acc=0.6002 f1=0.5704 | val_loss=0.7766 acc=0.6154 f1=0.5687 | epoch_time=0.13s
[Epoch 004] train_loss=0.7771 acc=0.5900 f1=0.5600 | val_loss=0.7672 acc=0.6324 f1=0.6093 | epoch_time=0.13s
[Epoch 005] train_loss=0.7649 acc=0.6117 f1=0.5829 | val_loss=0.7561 acc=0.6304 f1=0.6031 | epoch_time=0.13s
[Epoch 006] train_loss=0.7624 acc=0.6132 f1=0.5872 | val_loss=0.7484 acc=0.6444 f1=0.6145 | epoch_time=0.13s
[Epoch 007] train_loss=0.7535 acc=0.6154 f1=0.5911 | val_loss=0.7380 acc=0.6503 f1=0.6229 | epoch_time=0.13s
[Epoch 008] train_loss=0.7434 acc=0.6249 f1=0.5987 | val_loss=0.7296 acc=0.6523 f1=0.6292 | epoch_time=0.25s
[Epoch 009] train_loss=0.7366 acc=0.6269 f1=0.6041 | val_loss=0.7252 acc=0.6553 f1=0.6357 | epoch_time=0.13s
[Epoch 010] train_loss=0.7364 acc=0.6339 f1=0.6118 | val_loss=0.7247 acc=0.6573 f1=0.6307 | epoch_time=0.13s
[Epoch 011] train_loss=0.7320 acc=0.6262 f1=0.6021 | val_loss=0.7110 acc=0.6703 f1=0.6546 | epoch_time=0.13s
[Epoch 012] train_loss=0.7261 acc=0.6331 f1=0.6112 | val_loss=0.7094 acc=0.6633 f1=0.6456 | epoch_time=0.13s
[Epoch 013] train_loss=0.7210 acc=0.6391 f1=0.6153 | val_loss=0.7081 acc=0.6783 f1=0.6516 | epoch_time=0.13s
[Epoch 014] train_loss=0.7122 acc=0.6504 f1=0.6298 | val_loss=0.7062 acc=0.6723 f1=0.6514 | epoch_time=0.13s
