[Fold 1][Epoch 001] train_loss=0.9325 acc=0.5215 f1=0.5084 | val_loss=0.7995 acc=0.5539 f1=0.4464 | epoch_time=7.09s
[Fold 1][Epoch 002] train_loss=0.8087 acc=0.5654 f1=0.5326 | val_loss=0.7785 acc=0.5669 f1=0.5175 | epoch_time=6.46s
[Fold 1][Epoch 003] train_loss=0.7914 acc=0.5811 f1=0.5518 | val_loss=0.7663 acc=0.5719 f1=0.5044 | epoch_time=6.48s
[Fold 1][Epoch 004] train_loss=0.7686 acc=0.6048 f1=0.5787 | val_loss=0.7421 acc=0.6387 f1=0.6170 | epoch_time=6.46s
[Fold 1][Epoch 005] train_loss=0.7601 acc=0.6086 f1=0.5817 | val_loss=0.7363 acc=0.6397 f1=0.6206 | epoch_time=6.49s
[Fold 1][Epoch 006] train_loss=0.7538 acc=0.6103 f1=0.5827 | val_loss=0.7271 acc=0.6337 f1=0.6153 | epoch_time=6.55s
[Fold 1][Epoch 007] train_loss=0.7415 acc=0.6283 f1=0.6007 | val_loss=0.7157 acc=0.6467 f1=0.6252 | epoch_time=6.48s
[Fold 1][Epoch 008] train_loss=0.7359 acc=0.6241 f1=0.5975 | val_loss=0.7198 acc=0.6447 f1=0.6265 | epoch_time=6.46s
[Fold 1][Epoch 009] train_loss=0.7308 acc=0.6413 f1=0.6163 | val_loss=0.7125 acc=0.6497 f1=0.6295 | epoch_time=6.48s
[Fold 1][Epoch 010] train_loss=0.7249 acc=0.6358 f1=0.6087 | val_loss=0.7211 acc=0.6098 f1=0.5760 | epoch_time=6.46s
[Fold 1][Epoch 011] train_loss=0.7207 acc=0.6435 f1=0.6192 | val_loss=0.7062 acc=0.6417 f1=0.6088 | epoch_time=6.46s
[Fold 1][Epoch 012] train_loss=0.7168 acc=0.6433 f1=0.6133 | val_loss=0.6998 acc=0.6637 f1=0.6463 | epoch_time=6.44s
[Fold 1][Epoch 013] train_loss=0.7103 acc=0.6485 f1=0.6206 | val_loss=0.6985 acc=0.6647 f1=0.6364 | epoch_time=6.40s
