[Epoch 001] train_loss=0.9738 acc=0.5075 f1=0.4622 | val_loss=0.9280 acc=0.5190 f1=0.4236 | epoch_time=1.28s
[Epoch 002] train_loss=0.9039 acc=0.5362 f1=0.5008 | val_loss=0.9038 acc=0.5110 f1=0.4739 | epoch_time=1.27s
[Epoch 003] train_loss=0.8867 acc=0.5342 f1=0.5001 | val_loss=0.8799 acc=0.5719 f1=0.5281 | epoch_time=1.27s
[Epoch 004] train_loss=0.8710 acc=0.5422 f1=0.5061 | val_loss=0.8676 acc=0.5429 f1=0.4347 | epoch_time=1.32s
[Epoch 005] train_loss=0.8651 acc=0.5519 f1=0.5188 | val_loss=0.8617 acc=0.5589 f1=0.5268 | epoch_time=1.27s
[Epoch 006] train_loss=0.8464 acc=0.5599 f1=0.5206 | val_loss=0.8364 acc=0.5729 f1=0.5378 | epoch_time=1.27s
[Epoch 007] train_loss=0.8335 acc=0.5647 f1=0.5273 | val_loss=0.8241 acc=0.5749 f1=0.5275 | epoch_time=1.27s
[Epoch 008] train_loss=0.8247 acc=0.5694 f1=0.5208 | val_loss=0.8348 acc=0.5599 f1=0.5296 | epoch_time=1.27s
[Epoch 009] train_loss=0.8264 acc=0.5751 f1=0.5378 | val_loss=0.8163 acc=0.5719 f1=0.5217 | epoch_time=1.27s
[Epoch 010] train_loss=0.8114 acc=0.5804 f1=0.5417 | val_loss=0.8137 acc=0.5729 f1=0.5322 | epoch_time=1.27s
[Epoch 011] train_loss=0.8176 acc=0.5784 f1=0.5385 | val_loss=0.8102 acc=0.5639 f1=0.5336 | epoch_time=1.27s
[Epoch 012] train_loss=0.8074 acc=0.5841 f1=0.5489 | val_loss=0.8078 acc=0.5798 f1=0.5161 | epoch_time=1.27s
[Epoch 013] train_loss=0.8083 acc=0.5754 f1=0.5377 | val_loss=0.8114 acc=0.5729 f1=0.4987 | epoch_time=1.39s
[Epoch 014] train_loss=0.8077 acc=0.5826 f1=0.5430 | val_loss=0.8043 acc=0.5719 f1=0.5220 | epoch_time=1.27s
