[Epoch 001] train_loss=0.9986 acc=0.4651 f1=0.4600 | val_loss=0.8906 acc=0.5344 f1=0.4546 | epoch_time=3.37s
[Epoch 002] train_loss=0.9031 acc=0.5316 f1=0.5196 | val_loss=0.8782 acc=0.5222 f1=0.4678 | epoch_time=3.36s
[Epoch 003] train_loss=0.8884 acc=0.5285 f1=0.5165 | val_loss=0.8628 acc=0.5432 f1=0.5065 | epoch_time=3.36s
[Epoch 004] train_loss=0.8725 acc=0.5352 f1=0.5262 | val_loss=0.8524 acc=0.5554 f1=0.5355 | epoch_time=3.36s
[Epoch 005] train_loss=0.8648 acc=0.5377 f1=0.5239 | val_loss=0.8377 acc=0.5499 f1=0.5304 | epoch_time=3.36s
[Epoch 006] train_loss=0.8562 acc=0.5493 f1=0.5264 | val_loss=0.8294 acc=0.5676 f1=0.5441 | epoch_time=3.35s
[Epoch 007] train_loss=0.8427 acc=0.5593 f1=0.5473 | val_loss=0.8268 acc=0.5920 f1=0.5786 | epoch_time=3.35s
[Epoch 008] train_loss=0.8397 acc=0.5598 f1=0.5445 | val_loss=0.8142 acc=0.5909 f1=0.5556 | epoch_time=3.36s
[Epoch 009] train_loss=0.8320 acc=0.5687 f1=0.5602 | val_loss=0.8019 acc=0.6031 f1=0.5968 | epoch_time=3.36s
[Epoch 010] train_loss=0.8240 acc=0.5781 f1=0.5690 | val_loss=0.7986 acc=0.6009 f1=0.5873 | epoch_time=3.34s
[Epoch 011] train_loss=0.8206 acc=0.5687 f1=0.5501 | val_loss=0.8047 acc=0.5743 f1=0.5775 | epoch_time=3.35s
[Epoch 012] train_loss=0.8152 acc=0.5895 f1=0.5849 | val_loss=0.7879 acc=0.6098 f1=0.6077 | epoch_time=3.36s
[Epoch 013] train_loss=0.8132 acc=0.5889 f1=0.5778 | val_loss=0.8014 acc=0.6064 f1=0.6094 | epoch_time=3.36s
[Epoch 014] train_loss=0.8120 acc=0.5892 f1=0.5823 | val_loss=0.7835 acc=0.6142 f1=0.6056 | epoch_time=3.35s
[Epoch 015] train_loss=0.8073 acc=0.5898 f1=0.5807 | val_loss=0.7933 acc=0.6186 f1=0.6171 | epoch_time=3.35s
[Epoch 016] train_loss=0.8092 acc=0.5892 f1=0.5848 | val_loss=0.7803 acc=0.6364 f1=0.6307 | epoch_time=3.36s
[Epoch 017] train_loss=0.7991 acc=0.5978 f1=0.5863 | val_loss=0.8059 acc=0.5931 f1=0.5923 | epoch_time=3.37s
[Epoch 018] train_loss=0.8032 acc=0.5931 f1=0.5883 | val_loss=0.7792 acc=0.6197 f1=0.6109 | epoch_time=3.36s
[Epoch 019] train_loss=0.7954 acc=0.6044 f1=0.5995 | val_loss=0.7948 acc=0.5976 f1=0.5807 | epoch_time=3.35s
[Epoch 020] train_loss=0.8066 acc=0.5839 f1=0.5755 | val_loss=0.7820 acc=0.6064 f1=0.6036 | epoch_time=3.34s
[Epoch 021] train_loss=0.7895 acc=0.5967 f1=0.5924 | val_loss=0.7765 acc=0.6430 f1=0.6394 | epoch_time=3.35s
[Epoch 022] train_loss=0.7829 acc=0.6116 f1=0.6077 | val_loss=0.7798 acc=0.6164 f1=0.6061 | epoch_time=3.35s
[Epoch 023] train_loss=0.7791 acc=0.6042 f1=0.5973 | val_loss=0.7788 acc=0.6131 f1=0.6063 | epoch_time=3.35s
[Epoch 024] train_loss=0.7809 acc=0.6152 f1=0.6128 | val_loss=0.7810 acc=0.6197 f1=0.6075 | epoch_time=3.34s
[Epoch 025] train_loss=0.7745 acc=0.6152 f1=0.6113 | val_loss=0.7775 acc=0.6175 f1=0.6059 | epoch_time=3.34s
[Epoch 026] train_loss=0.7751 acc=0.6091 f1=0.5977 | val_loss=0.7706 acc=0.6308 f1=0.6282 | epoch_time=3.36s
[Epoch 027] train_loss=0.7658 acc=0.6216 f1=0.6186 | val_loss=0.7820 acc=0.6264 f1=0.6227 | epoch_time=3.34s
