[Epoch 001] train_loss=0.9873 acc=0.4715 f1=0.4590 | val_loss=0.9634 acc=0.5133 f1=0.4116 | epoch_time=0.13s
[Epoch 002] train_loss=0.8955 acc=0.5357 f1=0.5160 | val_loss=0.8740 acc=0.5576 f1=0.5333 | epoch_time=0.12s
[Epoch 003] train_loss=0.8711 acc=0.5416 f1=0.5267 | val_loss=0.8524 acc=0.5876 f1=0.5652 | epoch_time=0.12s
[Epoch 004] train_loss=0.8547 acc=0.5510 f1=0.5360 | val_loss=0.8419 acc=0.6020 f1=0.5812 | epoch_time=0.12s
[Epoch 005] train_loss=0.8417 acc=0.5740 f1=0.5639 | val_loss=0.8326 acc=0.6009 f1=0.5864 | epoch_time=0.12s
[Epoch 006] train_loss=0.8413 acc=0.5693 f1=0.5585 | val_loss=0.8219 acc=0.6031 f1=0.5849 | epoch_time=0.12s
[Epoch 007] train_loss=0.8311 acc=0.5834 f1=0.5728 | val_loss=0.8209 acc=0.5854 f1=0.5692 | epoch_time=0.12s
[Epoch 008] train_loss=0.8301 acc=0.5803 f1=0.5728 | val_loss=0.8092 acc=0.6075 f1=0.5943 | epoch_time=0.12s
[Epoch 009] train_loss=0.8254 acc=0.5798 f1=0.5737 | val_loss=0.8155 acc=0.5976 f1=0.5896 | epoch_time=0.12s
[Epoch 010] train_loss=0.8162 acc=0.6028 f1=0.5949 | val_loss=0.8004 acc=0.6186 f1=0.6044 | epoch_time=0.12s
[Epoch 011] train_loss=0.8096 acc=0.6014 f1=0.5920 | val_loss=0.7948 acc=0.6208 f1=0.6040 | epoch_time=0.12s
[Epoch 012] train_loss=0.8095 acc=0.6055 f1=0.5988 | val_loss=0.7944 acc=0.6275 f1=0.6156 | epoch_time=0.12s
[Epoch 013] train_loss=0.8021 acc=0.5997 f1=0.5904 | val_loss=0.7858 acc=0.6264 f1=0.6108 | epoch_time=0.12s
[Epoch 014] train_loss=0.7946 acc=0.5978 f1=0.5890 | val_loss=0.7884 acc=0.6220 f1=0.6078 | epoch_time=0.12s
[Epoch 015] train_loss=0.8023 acc=0.6100 f1=0.6040 | val_loss=0.7767 acc=0.6341 f1=0.6193 | epoch_time=0.12s
[Epoch 016] train_loss=0.7920 acc=0.6089 f1=0.6004 | val_loss=0.7770 acc=0.6242 f1=0.6096 | epoch_time=0.12s
[Epoch 017] train_loss=0.7908 acc=0.6100 f1=0.6017 | val_loss=0.7715 acc=0.6353 f1=0.6215 | epoch_time=0.12s
[Epoch 018] train_loss=0.7871 acc=0.6130 f1=0.6058 | val_loss=0.7754 acc=0.6308 f1=0.6200 | epoch_time=0.12s
[Epoch 019] train_loss=0.7915 acc=0.6133 f1=0.6062 | val_loss=0.7704 acc=0.6430 f1=0.6279 | epoch_time=0.12s
[Epoch 020] train_loss=0.7881 acc=0.6199 f1=0.6104 | val_loss=0.7685 acc=0.6353 f1=0.6242 | epoch_time=0.12s
[Epoch 021] train_loss=0.7849 acc=0.6169 f1=0.6106 | val_loss=0.7587 acc=0.6541 f1=0.6389 | epoch_time=0.12s
