[Fold 1][Epoch 001] train_loss=1.0073 acc=0.4325 f1=0.4370 | val_loss=0.8938 acc=0.5559 f1=0.5428 | epoch_time=6.16s
[Fold 1][Epoch 002] train_loss=0.8781 acc=0.5314 f1=0.5216 | val_loss=0.8997 acc=0.5327 f1=0.4489 | epoch_time=5.85s
[Fold 1][Epoch 003] train_loss=0.8655 acc=0.5381 f1=0.5273 | val_loss=0.8448 acc=0.5836 f1=0.5779 | epoch_time=5.83s
[Fold 1][Epoch 004] train_loss=0.8387 acc=0.5738 f1=0.5635 | val_loss=0.8389 acc=0.5670 f1=0.5578 | epoch_time=5.83s
[Fold 1][Epoch 005] train_loss=0.8277 acc=0.5686 f1=0.5589 | val_loss=0.8419 acc=0.5792 f1=0.5421 | epoch_time=5.82s
[Fold 1][Epoch 006] train_loss=0.8170 acc=0.5852 f1=0.5732 | val_loss=0.8198 acc=0.5858 f1=0.5727 | epoch_time=5.81s
[Fold 1][Epoch 007] train_loss=0.8022 acc=0.5910 f1=0.5853 | val_loss=0.8094 acc=0.6058 f1=0.5891 | epoch_time=5.84s
[Fold 1][Epoch 008] train_loss=0.7938 acc=0.6040 f1=0.5947 | val_loss=0.8121 acc=0.6024 f1=0.5860 | epoch_time=5.78s
[Fold 1][Epoch 009] train_loss=0.8006 acc=0.5863 f1=0.5841 | val_loss=0.8209 acc=0.5836 f1=0.5401 | epoch_time=5.80s
[Fold 1][Epoch 010] train_loss=0.7960 acc=0.5949 f1=0.5847 | val_loss=0.8012 acc=0.6058 f1=0.5987 | epoch_time=5.79s
[Fold 1][Epoch 011] train_loss=0.7859 acc=0.6049 f1=0.5964 | val_loss=0.7945 acc=0.6058 f1=0.5990 | epoch_time=5.79s
[Fold 1][Epoch 012] train_loss=0.7781 acc=0.6085 f1=0.6039 | val_loss=0.7934 acc=0.6235 f1=0.6125 | epoch_time=5.78s
[Fold 1][Epoch 013] train_loss=0.7778 acc=0.6101 f1=0.6068 | val_loss=0.7935 acc=0.6268 f1=0.6068 | epoch_time=5.79s
[Fold 1][Epoch 014] train_loss=0.7693 acc=0.6245 f1=0.6191 | val_loss=0.7839 acc=0.6357 f1=0.6266 | epoch_time=5.79s
[Fold 1][Epoch 015] train_loss=0.7629 acc=0.6168 f1=0.6129 | val_loss=0.7826 acc=0.6379 f1=0.6219 | epoch_time=5.76s
[Fold 1][Epoch 016] train_loss=0.7714 acc=0.6157 f1=0.6090 | val_loss=0.7825 acc=0.6080 f1=0.5975 | epoch_time=5.84s
[Fold 1][Epoch 017] train_loss=0.7741 acc=0.6173 f1=0.6111 | val_loss=0.7873 acc=0.6135 f1=0.5993 | epoch_time=5.81s
