[Fold 5][Epoch 001] train_loss=1.0005 acc=0.4471 f1=0.4506 | val_loss=0.9141 acc=0.5266 f1=0.4909 | epoch_time=5.76s
[Fold 5][Epoch 002] train_loss=0.8918 acc=0.5352 f1=0.5239 | val_loss=0.8552 acc=0.5698 f1=0.5340 | epoch_time=5.83s
[Fold 5][Epoch 003] train_loss=0.8631 acc=0.5529 f1=0.5434 | val_loss=0.8336 acc=0.5698 f1=0.5471 | epoch_time=5.79s
[Fold 5][Epoch 004] train_loss=0.8459 acc=0.5648 f1=0.5551 | val_loss=0.8161 acc=0.5754 f1=0.5494 | epoch_time=5.81s
[Fold 5][Epoch 005] train_loss=0.8340 acc=0.5753 f1=0.5637 | val_loss=0.8109 acc=0.5987 f1=0.5985 | epoch_time=5.77s
[Fold 5][Epoch 006] train_loss=0.8203 acc=0.5767 f1=0.5657 | val_loss=0.8018 acc=0.5942 f1=0.5850 | epoch_time=5.82s
[Fold 5][Epoch 007] train_loss=0.8112 acc=0.5909 f1=0.5830 | val_loss=0.7881 acc=0.6208 f1=0.6159 | epoch_time=5.80s
[Fold 5][Epoch 008] train_loss=0.8067 acc=0.6033 f1=0.5925 | val_loss=0.7800 acc=0.6286 f1=0.6212 | epoch_time=5.81s
[Fold 5][Epoch 009] train_loss=0.7980 acc=0.6033 f1=0.5947 | val_loss=0.7878 acc=0.6009 f1=0.5724 | epoch_time=5.79s
[Fold 5][Epoch 010] train_loss=0.8009 acc=0.5983 f1=0.5924 | val_loss=0.7799 acc=0.6275 f1=0.6137 | epoch_time=5.80s
[Fold 5][Epoch 011] train_loss=0.7929 acc=0.6006 f1=0.5952 | val_loss=0.7826 acc=0.6120 f1=0.5920 | epoch_time=5.78s
[Fold 5][Epoch 012] train_loss=0.7804 acc=0.6083 f1=0.6015 | val_loss=0.7738 acc=0.6264 f1=0.6144 | epoch_time=5.78s
[Fold 5][Epoch 013] train_loss=0.7829 acc=0.6175 f1=0.6073 | val_loss=0.7873 acc=0.6220 f1=0.6128 | epoch_time=5.78s
[Fold 5][Epoch 014] train_loss=0.7830 acc=0.6150 f1=0.6109 | val_loss=0.7710 acc=0.6253 f1=0.6088 | epoch_time=5.80s
[Fold 5][Epoch 015] train_loss=0.7829 acc=0.6122 f1=0.6032 | val_loss=0.7912 acc=0.6098 f1=0.6084 | epoch_time=5.78s
[Fold 5][Epoch 016] train_loss=0.7961 acc=0.6028 f1=0.5964 | val_loss=0.7814 acc=0.6264 f1=0.6256 | epoch_time=5.81s
[Fold 5][Epoch 017] train_loss=0.7682 acc=0.6366 f1=0.6330 | val_loss=0.7625 acc=0.6441 f1=0.6384 | epoch_time=5.78s
[Fold 5][Epoch 018] train_loss=0.7538 acc=0.6446 f1=0.6398 | val_loss=0.7633 acc=0.6397 f1=0.6395 | epoch_time=5.81s
[Fold 5][Epoch 019] train_loss=0.7527 acc=0.6380 f1=0.6345 | val_loss=0.7562 acc=0.6408 f1=0.6379 | epoch_time=5.79s
[Fold 5][Epoch 020] train_loss=0.7528 acc=0.6321 f1=0.6274 | val_loss=0.7688 acc=0.6197 f1=0.6064 | epoch_time=5.78s
[Fold 5][Epoch 021] train_loss=0.7485 acc=0.6449 f1=0.6402 | val_loss=0.7521 acc=0.6530 f1=0.6492 | epoch_time=5.82s
[Fold 5][Epoch 022] train_loss=0.7392 acc=0.6499 f1=0.6455 | val_loss=0.7673 acc=0.6419 f1=0.6338 | epoch_time=5.78s
[Fold 5][Epoch 023] train_loss=0.7357 acc=0.6474 f1=0.6412 | val_loss=0.7680 acc=0.6297 f1=0.6298 | epoch_time=5.79s
[Fold 5][Epoch 024] train_loss=0.7444 acc=0.6427 f1=0.6408 | val_loss=0.7533 acc=0.6475 f1=0.6411 | epoch_time=5.79s
[Fold 5][Epoch 025] train_loss=0.7275 acc=0.6535 f1=0.6459 | val_loss=0.7599 acc=0.6563 f1=0.6550 | epoch_time=5.80s
[Fold 5][Epoch 026] train_loss=0.7189 acc=0.6535 f1=0.6509 | val_loss=0.7471 acc=0.6541 f1=0.6450 | epoch_time=5.78s
[Fold 5][Epoch 027] train_loss=0.7116 acc=0.6590 f1=0.6532 | val_loss=0.7549 acc=0.6364 f1=0.6292 | epoch_time=5.78s
[Fold 5][Epoch 028] train_loss=0.7216 acc=0.6529 f1=0.6460 | val_loss=0.7675 acc=0.6386 f1=0.6387 | epoch_time=5.80s
[Fold 5][Epoch 029] train_loss=0.7107 acc=0.6618 f1=0.6574 | val_loss=0.7427 acc=0.6696 f1=0.6648 | epoch_time=5.78s
[Fold 5][Epoch 030] train_loss=0.7097 acc=0.6629 f1=0.6597 | val_loss=0.7609 acc=0.6364 f1=0.6332 | epoch_time=5.93s
[Fold 5][Epoch 031] train_loss=0.7151 acc=0.6496 f1=0.6465 | val_loss=0.7503 acc=0.6508 f1=0.6478 | epoch_time=5.78s
[Fold 5][Epoch 032] train_loss=0.7112 acc=0.6568 f1=0.6484 | val_loss=0.7527 acc=0.6519 f1=0.6481 | epoch_time=5.81s
[Fold 5][Epoch 033] train_loss=0.7138 acc=0.6568 f1=0.6530 | val_loss=0.7426 acc=0.6419 f1=0.6333 | epoch_time=5.79s
[Fold 5][Epoch 034] train_loss=0.6970 acc=0.6662 f1=0.6597 | val_loss=0.7408 acc=0.6652 f1=0.6618 | epoch_time=5.81s
[Fold 5][Epoch 035] train_loss=0.6932 acc=0.6765 f1=0.6726 | val_loss=0.7450 acc=0.6574 f1=0.6520 | epoch_time=5.79s
[Fold 5][Epoch 036] train_loss=0.6956 acc=0.6679 f1=0.6608 | val_loss=0.7403 acc=0.6630 f1=0.6592 | epoch_time=5.79s
[Fold 5][Epoch 037] train_loss=0.6920 acc=0.6715 f1=0.6660 | val_loss=0.7398 acc=0.6574 f1=0.6554 | epoch_time=5.80s
[Fold 5][Epoch 038] train_loss=0.6911 acc=0.6792 f1=0.6754 | val_loss=0.7421 acc=0.6674 f1=0.6631 | epoch_time=5.80s
[Fold 5][Epoch 039] train_loss=0.6902 acc=0.6726 f1=0.6693 | val_loss=0.7544 acc=0.6486 f1=0.6387 | epoch_time=5.79s
[Fold 5][Epoch 040] train_loss=0.6963 acc=0.6657 f1=0.6614 | val_loss=0.7389 acc=0.6630 f1=0.6594 | epoch_time=5.81s
[Fold 5][Epoch 041] train_loss=0.6874 acc=0.6756 f1=0.6719 | val_loss=0.7456 acc=0.6563 f1=0.6508 | epoch_time=5.80s
[Fold 5][Epoch 042] train_loss=0.6871 acc=0.6731 f1=0.6690 | val_loss=0.7545 acc=0.6508 f1=0.6419 | epoch_time=5.80s
[Fold 5][Epoch 043] train_loss=0.6861 acc=0.6756 f1=0.6693 | val_loss=0.7416 acc=0.6652 f1=0.6636 | epoch_time=5.78s
[Fold 5][Epoch 044] train_loss=0.6810 acc=0.6809 f1=0.6789 | val_loss=0.7386 acc=0.6608 f1=0.6534 | epoch_time=5.78s
[Fold 5][Epoch 045] train_loss=0.6851 acc=0.6701 f1=0.6645 | val_loss=0.7441 acc=0.6552 f1=0.6521 | epoch_time=5.79s
[Fold 5][Epoch 046] train_loss=0.6807 acc=0.6795 f1=0.6767 | val_loss=0.7433 acc=0.6585 f1=0.6550 | epoch_time=5.81s
[Fold 5][Epoch 047] train_loss=0.6808 acc=0.6745 f1=0.6721 | val_loss=0.7344 acc=0.6630 f1=0.6578 | epoch_time=5.81s
[Fold 5][Epoch 048] train_loss=0.6763 acc=0.6839 f1=0.6787 | val_loss=0.7393 acc=0.6641 f1=0.6611 | epoch_time=5.80s
[Fold 5][Epoch 049] train_loss=0.6747 acc=0.6839 f1=0.6818 | val_loss=0.7355 acc=0.6696 f1=0.6675 | epoch_time=5.79s
[Fold 5][Epoch 050] train_loss=0.6738 acc=0.6839 f1=0.6775 | val_loss=0.7396 acc=0.6674 f1=0.6643 | epoch_time=5.78s
[Fold 5][Epoch 051] train_loss=0.6768 acc=0.6781 f1=0.6766 | val_loss=0.7473 acc=0.6430 f1=0.6409 | epoch_time=5.78s
[Fold 5][Epoch 052] train_loss=0.6717 acc=0.6900 f1=0.6866 | val_loss=0.7412 acc=0.6608 f1=0.6543 | epoch_time=5.78s
