[Epoch 001] train_loss=1.1317 acc=0.4332 f1=0.4118 | val_loss=1.0378 acc=0.4956 f1=0.4281 | epoch_time=1.15s
[Epoch 002] train_loss=1.0142 acc=0.4906 f1=0.4751 | val_loss=0.9777 acc=0.4789 f1=0.3845 | epoch_time=1.15s
[Epoch 003] train_loss=0.9692 acc=0.4881 f1=0.4657 | val_loss=0.9642 acc=0.5122 f1=0.4136 | epoch_time=1.19s
[Epoch 004] train_loss=0.9477 acc=0.4931 f1=0.4805 | val_loss=0.9469 acc=0.4800 f1=0.3887 | epoch_time=1.15s
[Epoch 005] train_loss=0.9426 acc=0.4884 f1=0.4753 | val_loss=0.9468 acc=0.5177 f1=0.4163 | epoch_time=1.15s
[Epoch 006] train_loss=0.9328 acc=0.5050 f1=0.4829 | val_loss=0.9234 acc=0.4922 f1=0.4456 | epoch_time=1.15s
[Epoch 007] train_loss=0.9098 acc=0.5086 f1=0.4948 | val_loss=0.9136 acc=0.5277 f1=0.4816 | epoch_time=1.15s
[Epoch 008] train_loss=0.9011 acc=0.5133 f1=0.4941 | val_loss=0.9113 acc=0.5355 f1=0.5196 | epoch_time=1.15s
[Epoch 009] train_loss=0.8930 acc=0.5327 f1=0.5152 | val_loss=0.9147 acc=0.5266 f1=0.4981 | epoch_time=1.16s
[Epoch 010] train_loss=0.8920 acc=0.5294 f1=0.5141 | val_loss=0.9012 acc=0.5443 f1=0.4863 | epoch_time=1.16s
[Epoch 011] train_loss=0.8923 acc=0.5288 f1=0.5100 | val_loss=0.8919 acc=0.5399 f1=0.5243 | epoch_time=1.15s
[Epoch 012] train_loss=0.8896 acc=0.5352 f1=0.5111 | val_loss=0.8985 acc=0.5144 f1=0.4740 | epoch_time=1.15s
[Epoch 013] train_loss=0.8835 acc=0.5227 f1=0.5007 | val_loss=0.9024 acc=0.5111 f1=0.4695 | epoch_time=1.15s
[Epoch 014] train_loss=0.8847 acc=0.5316 f1=0.5074 | val_loss=0.9181 acc=0.5266 f1=0.5173 | epoch_time=1.15s
[Epoch 015] train_loss=0.8851 acc=0.5377 f1=0.5207 | val_loss=0.8917 acc=0.5399 f1=0.5039 | epoch_time=1.16s
[Epoch 016] train_loss=0.8750 acc=0.5382 f1=0.5181 | val_loss=0.8856 acc=0.5233 f1=0.5037 | epoch_time=1.18s
[Epoch 017] train_loss=0.8723 acc=0.5496 f1=0.5349 | val_loss=0.8863 acc=0.5399 f1=0.5167 | epoch_time=1.15s
[Epoch 018] train_loss=0.8728 acc=0.5510 f1=0.5317 | val_loss=0.8853 acc=0.5266 f1=0.4913 | epoch_time=1.27s
[Epoch 019] train_loss=0.8706 acc=0.5468 f1=0.5320 | val_loss=0.8861 acc=0.5344 f1=0.5134 | epoch_time=1.15s
[Epoch 020] train_loss=0.8664 acc=0.5548 f1=0.5369 | val_loss=0.8838 acc=0.5333 f1=0.5101 | epoch_time=1.16s
[Epoch 021] train_loss=0.8641 acc=0.5543 f1=0.5346 | val_loss=0.8870 acc=0.5333 f1=0.5082 | epoch_time=1.15s
[Epoch 022] train_loss=0.8631 acc=0.5626 f1=0.5470 | val_loss=0.9088 acc=0.5266 f1=0.4827 | epoch_time=1.16s
[Epoch 023] train_loss=0.8620 acc=0.5593 f1=0.5414 | val_loss=0.8844 acc=0.5377 f1=0.5167 | epoch_time=1.15s
[Epoch 024] train_loss=0.8624 acc=0.5593 f1=0.5450 | val_loss=0.8831 acc=0.5188 f1=0.5066 | epoch_time=1.16s
[Epoch 025] train_loss=0.8565 acc=0.5568 f1=0.5411 | val_loss=0.8838 acc=0.5310 f1=0.4835 | epoch_time=1.15s
[Epoch 026] train_loss=0.8667 acc=0.5526 f1=0.5359 | val_loss=0.8740 acc=0.5399 f1=0.5204 | epoch_time=1.16s
[Epoch 027] train_loss=0.8613 acc=0.5637 f1=0.5468 | val_loss=0.8778 acc=0.5466 f1=0.5276 | epoch_time=1.15s
[Epoch 028] train_loss=0.8506 acc=0.5620 f1=0.5447 | val_loss=0.8814 acc=0.5177 f1=0.5068 | epoch_time=1.15s
[Epoch 029] train_loss=0.8536 acc=0.5576 f1=0.5452 | val_loss=0.8768 acc=0.5410 f1=0.5163 | epoch_time=1.15s
