iter	MultiClass
0	1.05390418
1	1.018071947
2	0.9847717651
3	0.9563578312
4	0.9304384685
5	0.9061518744
6	0.8857315331
7	0.8679972045
8	0.8511420389
9	0.8367204077
10	0.820760117
11	0.8077451048
12	0.7953412534
13	0.7837384889
14	0.7763598821
15	0.7666892843
16	0.7576753073
17	0.7491543985
18	0.742681831
19	0.7362126499
20	0.7294281079
21	0.7237326591
22	0.7182055266
23	0.7115271788
24	0.7045921912
25	0.6989148728
26	0.6948956356
27	0.6908769642
28	0.6860425372
29	0.6808429952
30	0.6768803215
31	0.673446424
32	0.6698381015
33	0.6661413261
34	0.6620656486
35	0.6578894742
36	0.6544623274
37	0.6501301887
38	0.6474042308
39	0.6445629948
40	0.6413086785
41	0.6386565643
42	0.6361599608
43	0.6329122079
44	0.6306234773
45	0.6278416457
46	0.6228700571
47	0.6198001758
48	0.6164716125
49	0.6146935915
50	0.6121587417
51	0.6097788691
52	0.6074055634
53	0.605678745
54	0.602507909
55	0.5998083244
56	0.5978397344
57	0.596091217
58	0.5944766546
59	0.5917771822
60	0.5894433923
61	0.5872017062
62	0.584096735
63	0.5827275225
64	0.5813873498
65	0.5803004072
66	0.578253527
67	0.5752527388
68	0.5726483399
69	0.5698336746
70	0.5677695237
71	0.5654950263
72	0.5643944628
73	0.5616632085
74	0.5592299064
75	0.5580229302
76	0.5554121675
77	0.5531599628
78	0.55150081
79	0.5503180409
80	0.5488877839
81	0.5472014944
82	0.544657231
83	0.543767082
84	0.542049961
85	0.5401100017
86	0.5365278055
87	0.5345912263
88	0.5308095312
89	0.5284705204
90	0.5272140069
91	0.5252514993
92	0.5240808775
93	0.5198447317
94	0.5179963411
95	0.5167405771
96	0.5151720294
97	0.5131533742
98	0.5118248439
99	0.5106637218
100	0.5091281548
101	0.5061632808
102	0.5040632705
103	0.5030870199
104	0.500286877
105	0.4983502034
106	0.4970264223
107	0.4952331602
108	0.491430734
109	0.4896209296
110	0.4875015839
111	0.4852248199
112	0.4840394454
113	0.4824819873
114	0.4804366974
115	0.4773998583
116	0.4755211681
117	0.4731381454
118	0.4700693935
119	0.468781537
120	0.466777609
121	0.4646665308
122	0.463368906
123	0.4616109386
124	0.4605377672
125	0.4587574756
126	0.4553398049
127	0.4541554636
128	0.4513144079
129	0.4501580225
130	0.4490544203
131	0.4482347728
132	0.447473897
133	0.4449923175
134	0.4429556073
135	0.4415708965
136	0.4397949902
137	0.4387299475
138	0.4377010763
139	0.436636559
140	0.4352395443
141	0.4343177206
142	0.431754066
143	0.4288784701
144	0.4261410297
145	0.4240597023
146	0.4220171191
147	0.4193029431
148	0.4180147881
149	0.4170913416
150	0.415783569
151	0.4140850853
152	0.4116871352
153	0.4088026403
154	0.4080308675
155	0.4070765075
156	0.4042817039
157	0.4019676562
158	0.4004892418
159	0.3986975769
160	0.3958710625
161	0.3943880448
162	0.392713964
163	0.3916556417
164	0.3909550277
165	0.3891306208
166	0.3855506102
167	0.3836832506
168	0.3815823191
169	0.3805011615
170	0.3798468855
171	0.3788645551
172	0.3778622955
173	0.3760436112
174	0.3741987306
175	0.3726224515
176	0.3711571192
177	0.3700217886
178	0.3688816135
179	0.3680246748
180	0.3661861145
181	0.3644603836
182	0.3620526577
183	0.3612099786
