iter	Passed	Remaining
0	23	16933
1	47	16879
2	71	16851
3	95	16925
4	119	16954
5	143	16972
6	168	16970
7	192	16971
8	216	16961
9	240	16946
10	264	16935
11	289	16920
12	313	16906
13	337	16890
14	361	16867
15	386	16849
16	410	16826
17	434	16802
18	458	16775
19	482	16757
20	507	16733
21	531	16713
22	555	16690
23	579	16669
24	604	16649
25	628	16624
26	652	16600
27	676	16578
28	700	16556
29	725	16533
30	749	16509
31	773	16487
32	797	16454
33	821	16420
34	844	16391
35	869	16367
36	893	16346
37	917	16324
38	941	16301
39	966	16277
40	989	16246
41	1013	16212
42	1037	16190
43	1061	16167
44	1086	16145
45	1110	16123
46	1134	16102
47	1158	16078
48	1182	16054
49	1207	16033
50	1231	16009
51	1255	15987
52	1280	15965
53	1304	15941
54	1328	15918
55	1352	15895
56	1377	15872
57	1401	15847
58	1425	15824
59	1449	15801
60	1473	15778
61	1498	15754
62	1522	15731
63	1546	15707
64	1570	15683
65	1594	15659
66	1619	15636
67	1643	15608
68	1666	15579
69	1690	15551
70	1713	15522
71	1737	15493
72	1761	15465
73	1785	15438
74	1808	15410
75	1832	15382
76	1856	15358
77	1880	15336
78	1905	15312
79	1929	15288
80	1953	15265
81	1977	15242
82	2001	15219
83	2026	15196
84	2051	15177
85	2075	15158
86	2100	15139
87	2125	15120
88	2150	15101
89	2175	15082
90	2200	15062
91	2224	15042
92	2249	15021
93	2274	15001
94	2299	14981
95	2324	14961
96	2348	14939
97	2373	14919
98	2398	14899
99	2423	14878
100	2448	14858
101	2472	14837
102	2497	14815
103	2522	14795
104	2547	14774
105	2572	14752
106	2596	14731
107	2621	14710
108	2646	14688
109	2671	14667
110	2696	14646
111	2720	14625
112	2745	14603
113	2770	14582
114	2795	14560
115	2820	14539
116	2845	14517
117	2869	14495
118	2894	14474
119	2919	14452
120	2944	14430
121	2969	14408
122	2994	14386
123	3018	14364
124	3043	14342
125	3068	14319
126	3093	14297
127	3118	14274
128	3142	14252
129	3167	14230
130	3192	14207
131	3217	14184
132	3242	14162
133	3266	14140
134	3291	14117
135	3316	14095
136	3341	14072
137	3366	14049
138	3390	14027
139	3415	14004
140	3440	13981
141	3465	13958
142	3489	13935
143	3514	13912
144	3539	13889
145	3564	13866
146	3588	13842
147	3613	13820
148	3638	13797
149	3663	13773
150	3688	13751
151	3712	13728
152	3737	13705
153	3762	13682
154	3787	13659
155	3812	13636
156	3837	13613
157	3862	13590
158	3886	13567
159	3911	13544
160	3936	13521
161	3961	13497
162	3986	13474
163	4010	13450
164	4035	13427
165	4060	13403
166	4085	13380
167	4110	13357
168	4134	13334
169	4159	13311
170	4184	13287
171	4209	13264
172	4234	13240
173	4258	13217
174	4283	13194
175	4308	13170
176	4333	13147
177	4358	13123
178	4383	13100
179	4407	13076
180	4432	13053
181	4457	13029
182	4482	13006
183	4507	12982
184	4531	12958
185	4556	12935
186	4581	12911
187	4606	12888
188	4631	12864
189	4655	12840
190	4680	12816
191	4705	12792
192	4730	12768
193	4754	12745
194	4779	12721
195	4804	12697
196	4829	12674
197	4854	12650
198	4879	12626
199	4903	12602
200	4928	12579
201	4953	12555
202	4978	12531
203	5003	12507
204	5027	12483
205	5052	12460
206	5077	12436
207	5102	12412
208	5126	12387
209	5151	12363
210	5176	12340
211	5201	12316
212	5226	12292
213	5250	12268
214	5275	12244
215	5300	12220
216	5325	12196
217	5350	12172
218	5375	12149
219	5399	12125
220	5424	12101
221	5449	12077
222	5474	12053
223	5499	12029
224	5523	12005
225	5548	11981
226	5573	11957
227	5598	11933
228	5623	11909
229	5647	11885
230	5672	11861
231	5697	11837
232	5722	11813
233	5747	11789
234	5772	11765
235	5797	11741
236	5821	11717
237	5846	11693
238	5871	11669
239	5896	11645
240	5921	11621
241	5945	11595
242	5969	11569
243	5992	11543
244	6016	11516
245	6039	11490
246	6063	11463
247	6086	11437
