iter	MultiClass
0	1.04168164
1	1.000535673
2	0.9672266493
3	0.9410772013
4	0.9187590337
5	0.8989650496
6	0.8844042964
7	0.8698849205
8	0.8567907879
9	0.8466575893
10	0.8366213361
11	0.8290615902
12	0.8210639194
13	0.8129475429
14	0.8064923364
15	0.8008404933
16	0.7950285342
17	0.7900491338
18	0.7856200417
19	0.7802365208
20	0.7731390056
21	0.7690649189
22	0.7657751161
23	0.7611590898
24	0.7579790304
25	0.7524632943
26	0.7456688611
27	0.7438577925
28	0.7375334067
29	0.7321470602
30	0.7291132222
31	0.7260940823
32	0.7227786838
33	0.7191191471
34	0.7151845853
35	0.7096166661
36	0.7066490696
37	0.7025717736
38	0.7003463593
39	0.6978362156
40	0.6955348718
41	0.694078401
42	0.6899841038
43	0.6851327976
44	0.6840680715
45	0.6814674682
46	0.6784163818
47	0.6739378473
48	0.6729429609
49	0.6702755391
50	0.6685478892
51	0.6649488311
52	0.6626033146
53	0.6597605051
54	0.6547103626
55	0.6500652675
56	0.6455876007
57	0.6436167122
58	0.639583296
59	0.6371160798
60	0.6341737557
61	0.6320193122
62	0.6294868682
63	0.6278526016
64	0.6258468666
65	0.6210760837
66	0.6188528246
67	0.6163489443
68	0.6125162829
69	0.6104235252
70	0.6052120718
71	0.6032866914
72	0.5999532119
73	0.5947305153
74	0.5914897472
75	0.5892327617
76	0.5875421425
77	0.5820810884
78	0.5800303362
79	0.577666119
80	0.5741439221
81	0.5706444209
82	0.5674504235
83	0.5657924689
84	0.5639754814
85	0.5611969508
86	0.556690089
87	0.5547047107
88	0.5536513076
89	0.5519358533
90	0.5498647679
91	0.5485714144
92	0.5467357561
93	0.5422154987
94	0.5409281432
95	0.5375291463
96	0.5358343233
97	0.5343137577
98	0.5304801352
99	0.527380741
100	0.52644448
101	0.5228215786
102	0.5204015931
103	0.5166919015
104	0.5141137981
105	0.5113439056
106	0.5096877376
107	0.5079571039
108	0.5038963915
109	0.5018193991
110	0.4987088313
111	0.49726014
112	0.4947299257
113	0.4922679474
114	0.4880141018
115	0.4865901375
116	0.4854898815
117	0.4836614818
118	0.4825375436
119	0.4810273801
120	0.4799999146
121	0.4775860394
122	0.475422671
123	0.4745285525
124	0.4731396695
125	0.4701598639
126	0.4687108669
127	0.466702183
128	0.4647456872
129	0.4616500449
130	0.4594207062
131	0.4557495662
132	0.4529043557
133	0.4519213392
134	0.4495220666
135	0.4465651853
136	0.443487075
137	0.4410606297
138	0.4400670392
139	0.4368566928
140	0.4347570434
141	0.4329937184
142	0.4307250738
143	0.4291741051
144	0.4266277451
145	0.423796634
146	0.4211473588
147	0.4191442432
148	0.4162480398
149	0.41431261
150	0.4116181672
151	0.4102775803
152	0.409253285
153	0.408193019
154	0.4060391113
155	0.4044497802
156	0.4036884183
157	0.4024006508
158	0.4001793036
159	0.3992667829
160	0.3965532753
161	0.3955792469
162	0.3936282402
163	0.3917479575
164	0.3895561615
165	0.3866824978
166	0.3854305756
167	0.3839488672
168	0.382140889
169	0.3806898464
170	0.3784887939
171	0.3764617098
172	0.3753760478
173	0.3734222381
174	0.372775458
175	0.3710834017
176	0.3694603432
177	0.3672298042
178	0.3661098173
179	0.3646389689
180	0.363653674
181	0.3628300618
182	0.3610613515
183	0.3603471741
184	0.3587892037
185	0.3575101849
186	0.3565677372
187	0.3553603335
188	0.353853813
189	0.3529773474
190	0.3523433676
191	0.350335717
192	0.3494336199
193	0.3486402582
