iter	Passed	Remaining
0	9	6043
1	17	5457
2	24	5224
3	33	5188
4	41	5158
5	49	5151
6	56	5075
7	64	5041
8	72	5010
9	80	5002
10	87	4964
11	96	4967
12	104	4971
13	112	4953
14	120	4968
15	128	4942
16	136	4924
17	143	4903
18	151	4902
19	160	4900
20	167	4875
21	175	4867
22	183	4864
23	191	4845
24	198	4824
25	206	4815
26	214	4816
27	222	4798
28	229	4780
29	238	4776
30	245	4765
31	253	4761
32	262	4757
33	269	4745
34	277	4732
35	285	4729
36	293	4721
37	301	4711
38	309	4708
39	317	4692
40	324	4681
41	332	4675
42	340	4663
43	348	4651
44	356	4646
45	364	4639
46	371	4627
47	379	4621
48	387	4612
49	395	4600
50	403	4593
51	410	4580
52	418	4574
53	426	4568
54	434	4561
55	442	4555
56	451	4550
57	459	4544
58	467	4539
59	474	4528
60	482	4518
61	490	4507
62	498	4501
63	506	4492
64	513	4480
65	522	4477
66	530	4472
67	538	4463
68	545	4450
69	552	4438
70	560	4427
71	567	4416
72	575	4406
73	583	4397
74	590	4385
75	597	4374
76	605	4365
77	613	4357
78	620	4345
79	628	4339
80	636	4330
81	644	4321
82	652	4314
83	660	4306
84	667	4298
85	675	4291
86	683	4282
87	690	4271
88	698	4264
89	706	4256
90	714	4244
91	721	4237
92	729	4229
93	737	4223
94	745	4211
95	752	4201
96	760	4194
97	767	4183
98	775	4177
99	783	4167
100	791	4159
101	798	4149
102	806	4142
103	814	4136
104	822	4127
105	830	4118
106	837	4111
107	845	4100
108	852	4092
109	860	4082
110	867	4072
111	875	4063
112	883	4057
113	890	4047
114	898	4040
115	905	4029
116	913	4022
117	921	4013
118	929	4005
119	936	3997
120	944	3989
121	952	3982
122	960	3973
123	967	3964
124	975	3956
125	983	3948
126	991	3941
127	999	3933
128	1006	3925
129	1014	3919
130	1022	3911
131	1030	3902
132	1038	3895
133	1045	3885
134	1053	3878
135	1061	3870
136	1069	3863
137	1077	3857
138	1085	3848
139	1092	3840
140	1100	3832
141	1108	3824
142	1115	3815
143	1123	3806
144	1131	3798
145	1139	3792
146	1147	3785
147	1155	3777
148	1162	3769
149	1170	3760
150	1177	3751
151	1185	3743
152	1192	3734
153	1200	3726
154	1208	3717
155	1215	3708
156	1222	3699
157	1229	3689
158	1237	3681
159	1245	3673
160	1252	3665
161	1260	3658
162	1268	3649
163	1275	3641
164	1283	3632
165	1291	3624
166	1299	3617
167	1306	3609
168	1314	3602
169	1322	3592
170	1330	3585
171	1337	3577
172	1345	3570
173	1353	3562
174	1361	3555
175	1369	3548
176	1377	3540
177	1384	3532
178	1392	3524
179	1400	3516
180	1407	3507
181	1415	3499
182	1422	3490
183	1430	3482
184	1438	3475
185	1445	3467
186	1453	3459
187	1461	3452
188	1469	3443
189	1476	3434
190	1484	3427
191	1491	3418
192	1498	3409
193	1506	3402
194	1514	3393
195	1522	3386
196	1529	3378
197	1537	3370
198	1545	3363
199	1553	3355
200	1561	3349
201	1569	3341
202	1577	3333
203	1585	3326
204	1593	3318
205	1601	3311
206	1609	3304
207	1617	3297
208	1625	3290
209	1633	3283
210	1642	3276
211	1649	3268
212	1657	3260
213	1665	3254
214	1673	3246
215	1681	3239
216	1690	3232
217	1697	3224
218	1705	3216
219	1713	3208
220	1720	3200
221	1728	3193
222	1737	3186
223	1744	3178
224	1752	3170
225	1760	3162
226	1768	3155
227	1776	3148
228	1785	3141
229	1792	3133
230	1800	3125
231	1808	3118
232	1816	3110
233	1824	3103
234	1832	3096
235	1840	3089
236	1849	3082
237	1857	3074
238	1865	3067
239	1873	3060
240	1881	3052
241	1889	3045
242	1897	3037
243	1905	3029
244	1912	3021
245	1919	3012
246	1927	3005
247	1935	2997
248	1943	2989
249	1951	2982
250	1959	2975
251	1968	2967
252	1975	2960
253	1984	2952
254	1992	2945
255	2000	2937
256	2007	2929
257	2015	2922
258	2023	2914
259	2031	2906
260	2039	2898
261	2046	2890
262	2055	2883
263	2063	2875
264	2071	2868
265	2079	2860
266	2087	2853
267	2095	2845
268	2103	2838
269	2110	2829
270	2118	2821
271	2126	2814
272	2134	2807
273	2142	2799
274	2150	2791
275	2158	2784
276	2166	2776
277	2174	2768
278	2182	2761
279	2190	2753
280	2197	2745
281	2205	2737
282	2213	2730
283	2222	2722
284	2230	2715
285	2237	2707
286	2245	2699
287	2253	2692
288	2261	2684
289	2269	2676
290	2278	2669
291	2286	2661
292	2293	2653
293	2302	2646
294	2310	2639
295	2318	2631
296	2326	2623
297	2334	2616
298	2342	2609
299	2350	2601
300	2358	2593
301	2367	2586
302	2375	2579
303	2383	2571
304	2391	2563
305	2399	2556
306	2407	2548
307	2415	2540
308	2423	2532
309	2430	2524
310	2438	2516
311	2446	2508
312	2454	2501
313	2462	2493
314	2469	2485
315	2477	2477
316	2485	2469
317	2493	2461
318	2501	2454
319	2509	2446
320	2517	2439
321	2525	2431
322	2533	2423
323	2541	2415
324	2549	2408
325	2557	2400
326	2564	2392
327	2573	2384
328	2581	2377
329	2588	2368
330	2596	2361
331	2604	2353
332	2612	2345
333	2620	2338
334	2628	2330
335	2636	2322
336	2644	2314
337	2652	2307
338	2660	2299
339	2668	2291
340	2676	2283
341	2684	2276
342	2691	2267
343	2699	2260
344	2707	2252
345	2715	2244
346	2722	2236
347	2730	2228
348	2739	2221
349	2747	2213
350	2754	2205
351	2762	2197
352	2770	2189
353	2778	2182
354	2786	2174
355	2794	2166
356	2802	2158
357	2810	2150
358	2818	2143
359	2825	2134
360	2833	2126
361	2841	2119
362	2848	2111
363	2856	2103
364	2864	2095
365	2872	2087
366	2880	2079
367	2887	2071
368	2895	2063
369	2903	2056
