ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_0,1,1.6684,0.7594,1.1196,-8.687558826,0.825339258,0.857732423,-19.31977517,46.7466,-24.5829,-25.0313,-25.9091,-25.4919,-26.2513,-26.6115,240.279,0.0388186,491.039
91_2,1,1.6299,0.7413,1.0915,-9,0.94939059,0.097461095,-19.20777512,9.7398,-21.1273,-21.5613,-22.4218,-22.0159,-22.7572,-23.1074,9.39628,0.0317868,149.398
91_3,0,1.7438,0.7839,1.1556,-9,0.846272528,0.316866816,-19.36077812,5.6693,-19.9463,-20.4351,-21.3394,-20.9062,-21.6901,-22.0618,5.27528,0.0391144,141.657
91_4,0,1.7572,0.7869,1.1595,-9,0.6945346,0.349365982,-19.2733839,5.784,-19.8839,-20.3815,-21.2894,-20.8542,-21.6411,-22.0137,5.39835,0.0361035,156.989
91_5,0,1.8147,0.8054,1.188,-9,0.79598701,0.382128681,-19.59597463,5.0247,-19.7963,-20.326,-21.2526,-20.8056,-21.611,-21.9936,5.92443,0.0384628,172.947
91_7,0,1.7068,0.7732,1.14,-9,0.819629014,0.280009002,-18.8957035,5.7017,-19.5592,-20.0262,-20.9189,-20.4928,-21.266,-21.6328,3.47729,0.0340967,130.196
91_8,0,1.6998,0.7681,1.1319,-9,0.992560863,0.151857234,-18.93085534,6.067,-19.7367,-20.2028,-21.0916,-20.6684,-21.4365,-21.8003,2.82695,0.0316427,110.21
91_9,0,1.5384,0.7086,1.0457,-8.895266303,0.989190936,0.043801145,-18.79922881,6.991,-20.1224,-20.5115,-21.3365,-20.9522,-21.6608,-21.9979,3.1572,0.0290588,108.406
91_10,0,1.6891,0.7683,1.1322,-9,0.837187171,0.427321014,-19.37897628,3.9942,-19.3037,-19.7599,-20.6474,-20.2245,-20.9928,-21.3567,2.49791,0.0389393,116.378
91_11,0,1.2074,0.6297,0.9453,-8.370021881,0.987567246,0.022695398,-18.91104011,5.0093,-19.9325,-20.1114,-20.8383,-20.5102,-21.1399,-21.4555,1.20847,0.0295342,91.2697
91_12,0,0.4027,0.3069,0.5018,-3.138530959,0.81106329,0.037285407,-18.5503745,7.4626,-21.5617,-21.381,-21.7746,-21.6575,-21.9644,-22.1593,1.5907,0.0218696,94.9826
91_15,0,1.3166,0.6268,0.9266,-8.846358495,0.544483364,0.292853026,-19.51124,3.2061,-19.4652,-19.7489,-20.4852,-20.155,-20.7818,-21.0816,1.3193,0.031818,88.2845
91_17,0,1.6486,0.754,1.1107,-9,0.584154725,0.326652308,-19.10854191,3.6603,-18.908,-19.3433,-20.2165,-19.8026,-20.5566,-20.9133,1.33039,0.0318627,96.1284
91_18,0,1.1014,0.5937,0.8946,-8.567073539,0.806612611,0.051746474,-18.73413529,4.019,-19.4209,-19.5442,-20.2333,-19.9286,-20.5223,-20.8232,0.906211,0.0293491,80.4755
91_19,0,1.6972,0.7677,1.1308,-9,0.672699392,0.355711152,-19.60458487,3.1803,-19.0187,-19.4828,-20.3711,-19.9482,-20.7159,-21.079,1.73509,0.0372951,105.934
91_20,0,1.7989,0.8005,1.1815,-9,0.608913839,0.378505212,-19.40862391,3.1408,-18.6095,-19.1303,-20.0517,-19.6079,-20.4084,-20.7894,1.71342,0.0336082,124.654
