ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_0,2,2.534034,2.387424,2.3738017,-0.20555885,-0.87530434,3.7515938,-0.51627415,19.192316,-3.6609364,-3.9805174,-4.166256,-4.0576086,-4.2108116,-4.2475576,67.49118,2.7372713,15.394375
91_2,2,2.4437318,2.2766328,2.2527523,-0.36916593,0.42314193,-0.65627474,-0.29050237,3.3802161,-1.7686917,-2.06704,-2.2626839,-2.1454046,-2.3162582,-2.369931,2.4810166,1.8583485,3.3635406
91_3,0,2.7108855,2.5373902,2.5288827,-0.36916593,-0.65619564,0.6157864,-0.59892863,1.6409911,-1.1219904,-1.4460146,-1.6718466,-1.5349407,-1.7376608,-1.8096598,1.3206574,2.7742443,3.0909426
91_4,0,2.7423153,2.5557535,2.5456831,-0.36916593,-2.2444377,0.80420864,-0.42275774,1.6899997,-1.087821,-1.4164578,-1.6445538,-1.5063347,-1.7110922,-1.7838861,1.3553104,2.397904,3.6308565
91_5,0,2.877182,2.6689932,2.6684558,-0.36916593,-1.1825346,0.9941588,-1.0730422,1.3655694,-1.0398523,-1.3858532,-1.6244662,-1.479599,-1.6947715,-1.7731158,1.50344,2.692799,4.1928153
91_7,0,2.6241016,2.4718947,2.461681,-0.36916593,-0.9350735,0.4020937,0.33857742,1.6548349,-0.9100192,-1.2205331,-1.4423132,-1.3075227,-1.5077074,-1.5797857,0.81439334,2.147069,2.6873453
91_8,0,2.607683,2.4406774,2.4267879,-0.36916593,0.87500554,-0.3408991,0.2677177,1.8109186,-1.0072161,-1.3179164,-1.536583,-1.4041231,-1.600155,-1.6695385,0.63127565,1.8403372,1.9835415
91_9,0,2.2291176,2.0764737,2.0554547,-0.31432307,0.83973247,-0.9673821,0.5330529,2.2057211,-1.2184206,-1.4881442,-1.6702636,-1.560246,-1.7217739,-1.7754198,0.72426486,1.5173688,1.9200139
91_10,0,2.582586,2.4419017,2.42808,-0.36916593,-0.75129217,1.256173,-0.63561285,0.9252619,-0.7701105,-1.0736861,-1.2941127,-1.1599264,-1.3595743,-1.4318411,0.5386271,2.752358,2.2007468
91_11,0,1.4527538,1.5935214,1.6229508,-0.039283413,0.8227373,-1.089748,0.3076616,1.3589894,-1.1144338,-1.2675153,-1.398317,-1.3170947,-1.4393342,-1.4847819,0.17555661,1.5767902,1.3165618
91_12,0,-0.4346783,-0.3823598,-0.28756195,2.700141,-1.024731,-1.0051588,1.034698,2.4072244,-2.006564,-1.9676164,-1.9094042,-1.948243,-1.8863903,-1.8619039,0.28318197,0.6187721,1.447311
91_15,0,1.7088835,1.5757703,1.5423948,-0.28871292,-3.8150253,0.47656024,-0.9022325,0.58852607,-0.85854596,-1.0676203,-1.2055744,-1.1216934,-1.2451669,-1.2844324,0.20676327,1.8622483,1.2114385
91_17,0,2.487593,2.3543704,2.3354623,-0.36916593,-3.3997848,0.6725203,-0.0904662,0.7825946,-0.55342996,-0.8439585,-1.0589023,-0.92783237,-1.1230601,-1.1942511,0.2098859,1.8678355,1.4876602
91_18,0,1.2041297,1.3731629,1.404545,-0.14246778,-1.0713164,-0.921317,0.6642696,0.93585837,-0.8342878,-0.9547417,-1.0680727,-0.997147,-1.1044621,-1.1459721,0.09044887,1.5536541,0.93644583
91_19,0,2.6015847,2.4382288,2.422049,-0.36916593,-2.4729872,0.8409964,-1.0903988,0.57750237,-0.61404794,-0.9208836,-1.143292,-1.0079293,-1.209435,-1.2830392,0.32383817,2.5468452,1.8329629
91_20,0,2.840123,2.639,2.640455,-0.36916593,-3.140631,0.9731508,-0.6953771,0.560625,-0.389975,-0.726503,-0.9689448,-0.8207247,-1.0427039,-1.1278608,0.3177365,2.08601,2.4921846
91_21,0,0.21221343,0.5033589,0.6084621,0.38054082,0.18594939,-1.0087905,0.38521457,0.9850805,-1.2327675,-1.2349255,-1.2593961,-1.242994,-1.2697293,-1.286415,0.027674029,0.7450771,0.8537402
91_22,0,3.0061853,2.7577488,2.7696893,-0.36916593,-2.055477,1.5509036,-1.7185813,0.3687783,-0.4091406,-0.76990086,-1.0229301,-0.8682548,-1.1000702,-1.1902323,0.4699432,3.2924635,3.0593197
91_23,0,3.0106416,2.8085537,2.8325832,-0.36916593,-0.052935157,2.6564355,-3.1848066,-0.2002245,0.011625916,-0.34248406,-0.6022917,-0.44202474,-0.6844625,-0.7828889,0.20193711,2.0531995,1.9664271
91_24,0,2.389316,2.2698996,2.2488754,-0.36767143,0.860368,-1.0114739,0.475612,0.53631306,-0.24376906,-0.5199908,-0.7297496,-0.6012834,-0.79371876,-0.8654078,0.004948334,1.252022,0.941721
91_25,0,2.3515532,2.2760205,2.259214,-0.36520404,-0.3446151,-0.6961281,0.0037626321,0.37958837,-0.23155785,-0.49859515,-0.70840657,-0.5796088,-0.7728977,-0.8455818,0.029739361,1.5784026,0.88659215
91_26,0,2.8802314,2.679399,2.6899948,-0.36916593,0.3084605,1.118595,-2.2407932,0.018839648,-0.17433491,-0.5140353,-0.7617915,-0.6098652,-0.8384515,-0.92863655,0.24169794,2.0557244,2.6262476
91_29,0,2.3546023,2.2484758,2.2208745,-0.36916593,0.7976641,-0.8974254,0.47339386,0.40159306,-0.13474432,-0.40452042,-0.6138639,-0.48553893,-0.677739,-0.7491847,-0.026905652,1.4635719,0.63149935
91_30,0,2.3972907,2.279081,2.2510293,-0.36916593,0.59263515,-0.99349135,0.5466044,0.52857935,-0.21737532,-0.49363223,-0.7052952,-0.575813,-0.76942754,-0.84086645,0.024060894,1.4903829,0.889022
91_31,0,-0.31599548,-0.30645853,-0.25999197,0.13548943,0.56947917,-0.50194055,-0.0802356,0.22034279,-0.9420531,-0.9134393,-0.8741292,-0.8998315,-0.8597606,-0.8441351,-0.100696445,0.5130283,-0.078382544
91_32,0,2.5089371,2.3904846,2.3755248,-0.36916593,-3.7497883,1.6482881,-1.202781,0.07190727,-0.13414197,-0.42266262,-0.64448655,-0.50836873,-0.7128203,-0.79065853,0.051823072,2.0823853,0.8728337
91_33,0,2.6431003,2.490258,2.4814968,-0.36916593,-3.0679193,-0.5972223,0.02590009,0.40766037,-0.13879646,-0.4459883,-0.67723805,-0.5355445,-0.74844384,-0.83031046,0.08648405,2.0516245,1.1349273
91_34,0,2.2654731,2.1425812,2.120072,-0.35631037,0.41211793,-0.8203066,0.22620419,0.49491003,-0.30980816,-0.5735351,-0.7707982,-0.6500237,-0.83048093,-0.89686143,0.017691448,1.8192508,0.7178356
