ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_0,1,1.6684,0.7594,1.1196,-8.687558826,0.825339258,0.8577324229999999,-19.31977517,46.7466,-24.5829,-25.0313,-25.9091,-25.4919,-26.2513,-26.6115,240.27900000000005,0.0388186,491.0390000000001
91_2,1,1.6299,0.7413,1.0915,-9.000000000000002,0.94939059,0.09746109499999998,-19.20777512,9.7398,-21.1273,-21.5613,-22.4218,-22.0159,-22.7572,-23.1074,9.39628,0.0317868,149.39799999999994
91_3,0,1.7438,0.7839,1.1556,-9.000000000000002,0.8462725279999999,0.316866816,-19.36077812,5.669300000000002,-19.9463,-20.4351,-21.3394,-20.9062,-21.6901,-22.0618,5.27528,0.0391144,141.65699999999995
91_4,0,1.7572,0.7869,1.1595,-9.000000000000002,0.6945346,0.349365982,-19.2733839,5.784000000000001,-19.8839,-20.3815,-21.2894,-20.8542,-21.6411,-22.0137,5.39835,0.0361035,156.989
91_5,0,1.8147,0.8054000000000001,1.188,-9.000000000000002,0.79598701,0.38212868099999997,-19.59597463,5.024700000000001,-19.7963,-20.326,-21.2526,-20.8056,-21.611,-21.9936,5.92443,0.0384628,172.94699999999995
91_7,0,1.7068,0.7732,1.14,-9.000000000000002,0.8196290139999999,0.280009002,-18.8957035,5.701700000000001,-19.5592,-20.0262,-20.9189,-20.4928,-21.266,-21.6328,3.4772899999999995,0.0340967,130.19599999999994
91_8,0,1.6998,0.7681,1.1319,-9.000000000000002,0.992560863,0.151857234,-18.93085534,6.067000000000001,-19.7367,-20.2028,-21.0916,-20.6684,-21.4365,-21.8003,2.82695,0.0316427,110.20999999999998
91_9,0,1.5383999999999998,0.7086,1.0457,-8.895266303000001,0.989190936,0.043801145,-18.79922881,6.991,-20.1224,-20.5115,-21.3365,-20.9522,-21.6608,-21.9979,3.1571999999999996,0.0290588,108.406
91_10,0,1.6891,0.7683,1.1322,-9.000000000000002,0.8371871709999998,0.427321014,-19.37897628,3.9942,-19.3037,-19.7599,-20.6474,-20.2245,-20.9928,-21.3567,2.49791,0.0389393,116.37800000000006
91_11,0,1.2074,0.6297,0.9453,-8.370021881000001,0.9875672459999999,0.02269539800000001,-18.91104011,5.0093,-19.9325,-20.1114,-20.8383,-20.5102,-21.1399,-21.4555,1.2084699999999997,0.0295342,91.26969999999997
91_12,0,0.4027,0.3069,0.5018,-3.1385309590000006,0.81106329,0.037285407,-18.5503745,7.462600000000001,-21.5617,-21.381,-21.7746,-21.6575,-21.9644,-22.1593,1.5907,0.0218696,94.98259999999996
91_15,0,1.3166,0.6268,0.9266,-8.846358495,0.544483364,0.292853026,-19.51124,3.2061000000000006,-19.4652,-19.7489,-20.4852,-20.155,-20.7818,-21.0816,1.3193,0.031818,88.28449999999998
91_17,0,1.6486,0.754,1.1107,-9.000000000000002,0.5841547249999999,0.326652308,-19.10854191,3.6603,-18.908,-19.3433,-20.2165,-19.8026,-20.5566,-20.9133,1.33039,0.0318627,96.12840000000001
91_18,0,1.1014,0.5937,0.8946,-8.567073538999999,0.806612611,0.051746474,-18.73413529,4.019,-19.4209,-19.5442,-20.2333,-19.9286,-20.5223,-20.8232,0.9062110000000001,0.0293491,80.47550000000001
91_19,0,1.6972,0.7677,1.1308,-9.000000000000002,0.672699392,0.355711152,-19.60458487,3.1803,-19.0187,-19.4828,-20.3711,-19.9482,-20.7159,-21.079,1.73509,0.0372951,105.934
91_20,0,1.7989,0.8005,1.1815,-9.000000000000002,0.6089138390000001,0.37850521200000004,-19.40862391,3.1408,-18.6095,-19.1303,-20.0517,-19.6079,-20.4084,-20.7894,1.71342,0.0336082,124.654
91_21,0,0.6785,0.4516,0.7098,-7.5682816829999995,0.92672962,0.03665899799999999,-18.87256791,4.1342,-20.1486,-20.0523,-20.5838,-20.3755,-20.8271,-21.0853,0.683267,0.0228801,78.12689999999999
91_22,0,1.8697,0.8199,1.2115,-9.000000000000002,0.712587595,0.478156286,-19.91621137,2.6918000000000006,-18.6445,-19.209,-20.1506,-19.6943,-20.5142,-20.9058,2.2539799999999994,0.0432604,140.759
91_23,0,1.8716,0.8282,1.2261,-9.000000000000002,0.9039070009999999,0.668838976,-20.64357112,1.3601,-17.8761,-18.4339,-19.38,-18.9195,-19.7477,-20.1456,1.3021600000000002,0.0333457,109.72400000000003
91_24,0,1.6067,0.7402,1.0906,-8.997145936,0.991162419,0.03619617299999999,-18.82772388,3.0839000000000003,-18.3425,-18.7558,-19.6135,-19.209,-19.9492,-20.2996,0.602557,0.0269359,80.62530000000002
91_25,0,1.5906,0.7412000000000001,1.093,-8.992433963,0.876040399,0.09058717,-19.06179721,2.7170999999999994,-18.3202,-18.717,-19.5744,-19.1696,-19.9108,-20.2626,0.690602,0.0295471,79.05979999999998
91_26,0,1.816,0.8071,1.193,-9.000000000000002,0.938434124,0.403591504,-20.17526831,1.8728000000000002,-18.2157,-18.745,-19.6722,-19.2246,-20.0317,-20.4176,1.44337,0.0333659,128.461
91_29,0,1.5919,0.7367,1.0841,-9.000000000000002,0.985171795,0.055867305000000006,-18.82882425,2.7685999999999997,-18.1434,-18.5464,-19.4012,-18.9986,-19.7353,-20.0827,0.489428,0.028628400000000002,71.81589999999997
91_30,0,1.6101,0.7417,1.0911,-9.000000000000002,0.9655836819999999,0.03929779700000001,-18.79250622,3.0658,-18.2943,-18.708,-19.5687,-19.1627,-19.9044,-20.2538,0.670435,0.0288429,79.12879999999998
91_31,0,0.4533,0.3193,0.5082,-8.036257396,0.963371396,0.124080723,-19.10346675,2.3444000000000003,-19.6177,-19.4693,-19.878,-19.7517,-20.071,-20.2599,0.227361,0.0210236,51.65729999999999
91_32,0,1.6577,0.7599,1.12,-9.000000000000002,0.550715983,0.49495323599999996,-19.66033499,1.997,-18.1423,-18.5793,-19.4573,-19.0401,-19.8,-20.1601,0.7690319999999999,0.0335792,78.66909999999999
91_33,0,1.7149,0.7762,1.1446,-9.000000000000002,0.615860581,0.10764647900000002,-19.05081534,2.7827999999999995,-18.1508,-18.6216,-19.5173,-19.0895,-19.8657,-20.2341,0.8921299999999999,0.0333331,86.11180000000004
91_34,0,1.5539,0.7194,1.0607,-8.975449649,0.9483373760000001,0.069168798,-18.95144921,2.987,-18.4631,-18.8529,-19.6887,-19.2976,-20.017,-20.3583,0.6478140000000001,0.031474,74.2676
91_35,0,1.438,0.6699,0.985,-8.994124473000001,0.9077636,0.074038952,-19.12781948,2.4147999999999996,-18.3677,-18.7104,-19.495,-19.1358,-19.8057,-20.1208,0.479658,0.0259877,73.59750000000001
91_36,0,1.6626,0.7599,1.1207,-9.000000000000002,0.558104277,0.18329146100000002,-19.17743728,2.3440000000000003,-17.9812,-18.423,-19.3012,-18.8839,-19.6438,-20.0046,0.6509209999999999,0.0298253,77.65279999999997
91_37,0,0.2964,0.2916,0.4784,-7.957265151000001,0.9660177830000001,0.07989904499999999,-19.02536722,2.3375000000000004,-19.6952,-19.4339,-19.805,-19.7,-19.9916,-20.1784,0.210719,0.0196035,68.18610000000001
91_38,0,1.6812,0.7653,1.1275,-9.000000000000002,0.6788505320000001,0.09407823000000001,-18.91764344,2.6486,-17.9738,-18.426,-19.3108,-18.8897,-19.655,-20.0172,0.637022,0.0323445,79.6861
91_39,0,1.8806,0.8231,1.2137,-9.000000000000002,0.621667802,0.676884128,-20.18592593,1.5884,-17.7753,-18.3454,-19.2915,-18.8328,-19.6559,-20.0465,1.12884,0.0406657,115.135
91_40,0,0.31,0.2669,0.4338,-8.458848383,0.976678669,0.045772668,-19.12067989,1.4381,-18.8252,-18.6061,-18.9604,-18.8683,-19.1352,-19.3021,0.066815,0.0148849,51.9631
91_41,0,1.7173,0.7749,1.1414,-9.000000000000002,0.596584797,0.10628980900000001,-19.22855371,2.388,-17.993,-18.4674,-19.3629,-18.9354,-19.7103,-20.0768,0.769355,0.0372187,81.49290000000003
91_43,0,1.7587,0.7907,1.1668,-9.000000000000002,0.475641131,0.09988798299999999,-19.21526588,2.1962,-17.7297,-18.2243,-19.1346,-18.6977,-19.4884,-19.8645,0.749062,0.0315985,88.48740000000002
91_44,0,1.7909,0.796,1.173,-9.000000000000002,0.700283289,0.34660215399999994,-19.62221883,2.0167,-17.8819,-18.4001,-19.3181,-18.8768,-19.6728,-20.0498,0.889716,0.0435539,95.84619999999995
91_45,0,1.6479,0.7533999999999998,1.1097,-9.000000000000002,0.605723381,0.137503766,-19.15729503,2.4034,-18.0511,-18.4863,-19.3591,-18.9456,-19.699,-20.0553,0.645011,0.0325107,72.58749999999999
91_46,0,1.823,0.8068,1.1899,-9.000000000000002,0.5288721319999999,0.670746549,-20.09695679,1.5267,-17.6971,-18.2327,-19.1613,-18.7133,-19.5201,-19.9032,0.912086,0.0388951,106.182
91_47,0,1.525,0.7188,1.0571,-9.000000000000002,0.9838934540000001,0.24731046,-18.87918658,1.6526,-17.197,-17.5595,-18.3937,-18.0032,-18.722,-19.0603,0.198669,0.0241055,57.802599999999984
91_48,0,1.4964,0.7023000000000001,1.0291,-8.998492717000001,0.9230155940000001,0.076582162,-18.82213107,2.1761000000000004,-17.7791,-18.1344,-18.9539,-18.5732,-19.2755,-19.6023,0.301381,0.0253576,57.650199999999984
91_50,0,1.5249,0.7175,1.0538,-9.000000000000002,0.9784120319999999,0.025450316000000004,-18.7225056,2.0896999999999997,-17.5669,-17.9303,-18.7643,-18.3743,-19.0918,-19.4281,0.190349,0.0217541,53.197199999999995
91_51,0,1.8043,0.8014,1.1825,-9.000000000000002,0.668342173,0.313097401,-19.07331669,2.2471999999999994,-17.5372,-18.0619,-18.9846,-18.5401,-19.3415,-19.7226,0.6355460000000002,0.0437342,80.55890000000001
91_52,0,1.8435,0.8145,1.2022,-9.000000000000002,0.9476575850000001,0.10765631100000002,-19.14714029,2.0421000000000005,-17.3437,-17.8895,-18.8253,-18.3727,-19.1872,-19.5749,0.655143,0.0409352,85.71290000000003
91_53,0,1.7852,0.7948,1.1722,-9.000000000000002,0.707148194,0.12489827099999999,-19.35818738,2.0397999999999996,-17.6451,-18.1596,-19.0759,-18.6355,-19.4303,-19.8077,0.636041,0.0419197,77.64360000000002
91_54,0,1.6799,0.7659,1.1283,-9.000000000000002,0.557485461,0.31606732400000004,-18.91196686,2.1392999999999995,-17.5151,-17.9653,-18.8503,-18.4291,-19.195,-19.5574,0.458986,0.0315189,70.74929999999999
91_55,0,1.5879,0.7404,1.0908,-9.000000000000002,0.956936061,0.07995463899999998,-19.01521514,1.7476,-17.354,-17.7491,-18.6056,-18.2015,-18.9419,-19.2923,0.311906,0.0247738,65.84279999999998
91_56,0,1.5615999999999999,0.7269,1.0689,-9.000000000000002,0.975972414,0.06617112299999998,-18.98843946,2.1090999999999998,-17.7625,-18.1487,-18.9935,-18.5972,-19.3241,-19.6661,0.293007,0.0269049,59.565200000000004
91_57,0,0.625,0.3982,0.6171,-8.793349679000002,0.90676564,0.107712335,-19.31204768,1.2848,-18.2876,-18.2051,-18.6912,-18.5144,-18.9126,-19.1315,0.080065,0.0180121,51.1429
91_58,0,1.3558,0.634,0.929,-9.000000000000002,0.9419087770000001,0.06978716900000001,-18.8857918,1.69,-17.52,-17.8296,-18.5779,-18.2418,-18.8758,-19.1708,0.134024,0.0190983,53.469800000000006
91_59,0,1.6504,0.7584,1.1174,-9.000000000000002,0.605866373,0.312101902,-18.93807727,1.8957000000000002,-17.3407,-17.7724,-18.6487,-18.2327,-18.9911,-19.3501,0.36360999999999993,0.0276657,65.62500000000003
91_60,0,0.9784,0.5156,0.7721,-8.948701327999999,0.967206657,0.21701231799999998,-19.01366919,1.1364,-17.2629,-17.3673,-17.9814,-17.7257,-18.2413,-18.4978,0.072565,0.0201754,47.3288
